,history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day),rlon,rlat
735,5747,OWEN SOUND MOE,ON,-80.9333,44.5833,179,8,-16,27,4028,11.373576723747828,-1.7405275891997007
736,5758,PORT LAW,ON,-80.4667,44.25,495,5,-20,23,4682,11.768849235202438,-1.9976029764428336
737,5759,POWASSAN,ON,-79.25,46.1167,274,5,-28,26,5087,12.200271604969695,0.0108004267438218
738,5762,PROTON STATION,ON,-80.5167,44.1667,480,5,-21,24,4793,11.75125646889718,-2.086565409940424
739,5773,SHANTY BAY,ON,-79.6328,44.3995,250,7,-22,26,4230,12.319592020167152,-1.7233069520001558
740,5793,UDORA,ON,-79.1614,44.2625,262,7,-21,27,4135,12.679022862516934,-1.7816353282292943
741,5808,WIARTON A,ON,-81.1072,44.7458,222,7,-18,26,4244,11.219407227076683,-1.6065279350677362
742,5820,THORNBURY SLAMA,ON,-80.4853,44.5736,213,7,-18,27,4110,11.687924428012861,-1.6839926466563786
743,5822,EGBERT CARE,ON,-79.7833,44.2333,252,7,-21,27,4228,12.250936972318437,-1.9090728517835933
744,5828,BLYTH,ON,-81.3836,43.7183,351,7,-19,27,4175,11.23121942537366,-2.6528716485811477
745,5840,DASHWOOD,ON,-81.6167,43.3667,253,8,-16,27,3772,11.134815531368883,-3.030893850334344
746,5841,COURTRIGHT,ON,-82.4517,42.7639,186,9,-17,29,3578,10.650108734817504,-3.7389697267318867
747,5845,EXETER,ON,-81.5,43.35,262,8,-17,28,3824,11.22141346027362,-3.0305882642868083
748,5851,GODERICH,ON,-81.7167,43.7667,214,8,-15,24,3736,10.985487811987579,-2.652732378466715
749,5861,KINCARDINE,ON,-81.6233,44.1728,200,8,-14,26,3790,10.972174998558373,-2.241321589381504
750,5863,LUCKNOW,ON,-81.5,43.95,290,7,-18,26,4203,11.10292505991431,-2.442376887557362
751,5870,PAISLEY,ON,-81.3667,44.2667,244,7,-19,26,4320,11.13405684862998,-2.1129955462159336
752,5873,PETROLIA TOWN,ON,-82.1667,42.8833,201,9,-16,28,3602,10.833443896759782,-3.582520318627976
753,5877,SALTFORD,ON,-81.6833,43.75,229,8,-14,26,4001,11.012430916195237,-2.6644143539380045
754,5880,SARNIA AIRPORT,ON,-82.3047,42.9922,181,8,-16,28,3771,10.7134921602455,-3.4945859613826147
755,5889,TARA,ON,-81.157,44.5195,230,7,-18,25,4228,11.230341090007814,-1.8353251431644337
756,5900,THEDFORD,ON,-81.8558,43.1756,200,9,-16,28,3640,11.000990223356801,-3.252190168365689
757,5901,AMHERSTBURG,ON,-83.0945,42.1034,182,10,-15,27,3362,10.302673296791056,-4.47465878931522
758,5917,CHATHAM WPCP,ON,-82.2153,42.39,180,10,-16,28,3442,10.891632910569474,-4.073694737965422
759,5921,DELHI CDA,ON,-80.55,42.8667,232,8,-17,26,3888,11.999925006386508,-3.3628448895127754
760,5923,DRESDEN,ON,-82.1833,42.5833,183,8,-19,28,3768,10.878279682455496,-3.8794158185025394
761,5926,DUNNVILLE PUMPING STN,ON,-79.6167,42.8333,175,8,-16,26,3774,12.676476148716175,-3.24842961664734
762,5934,FORT ERIE,ON,-78.9667,42.8833,180,9,-15,27,3692,13.130240887970073,-3.092690736879672
763,5939,GRIMSBY MOUNTAIN,ON,-79.5583,43.1836,171,10,-14,27,3438,12.640676415959707,-2.8973514657298165
764,5942,HAGERSVILLE,ON,-80.0667,42.9667,221,8,-16,26,3778,12.32513408556721,-3.190046906051618
765,5944,HARROW CDA,ON,-82.9,42.0333,191,9,-18,28,3556,10.457750487409273,-4.5177895001951045
766,5958,NEW GLASGOW,ON,-81.6361,42.5145,198,9,-16,27,3652,11.288043481065609,-3.8693765104235194
767,5959,NIAGARA FALLS,ON,-79.0833,43.1333,183,9,-16,28,3569,12.990070953040247,-2.8686918482263937
768,5963,NIAGARA ON THE LAKE,ON,-79.1333,43.25,81,9,-14,27,3594,12.928027217189955,-2.763299215491138
769,5977,PORT COLBORNE,ON,-79.25,42.8833,175,10,-14,26,3523,12.927767317025122,-3.1397794599579134
770,5980,PORT DALHOUSIE,ON,-79.2667,43.1833,91,9,-15,28,3517,12.848272183585957,-2.8502163436945627
771,5983,PORT STANLEY,ON,-81.2167,42.6667,183,8,-16,26,3868,11.56107030925312,-3.6589521565058734
772,5990,RIDGETOWN AUTOMATIC CLIMATE STATION,ON,-81.8833,42.45,206,9,-16,27,3590,11.12134986160888,-3.96806270606981
773,5992,RIDGEVILLE,ON,-79.325,43.0417,236,9,-16,27,3731,12.83857535440109,-2.9977565306147875
774,5996,ST CATHARINES A,ON,-79.1667,43.2,98,9,-14,28,3570,12.915619247015943,-2.817509219258394
775,6003,ST THOMAS WPCP,ON,-81.205,42.7683,209,9,-16,27,3663,11.54904445218576,-3.557698000558396
776,6017,TILLSONBURG NORTH,ON,-80.7406,42.8606,235,9,-17,27,3703,11.864307220593831,-3.3978654581494028
777,6020,VINELAND,ON,-79.4167,43.15,110,10,-14,28,3393,12.748976914625931,-2.9071695462038596
778,6022,VINELAND RITTENHOUSE,ON,-79.4167,43.1667,95,9,-15,28,3527,12.745247858010568,-2.8908901203189035
779,6033,WELLAND,ON,-79.2611,42.9925,175,9,-16,27,3730,12.895229197324136,-3.0352088239803825
780,6037,WINDSOR RIVERSIDE,ON,-82.9333,42.3333,188,11,-14,28,3165,10.379271031382924,-4.227125340313413
781,6038,WINDSOR A,ON,-82.9556,42.2756,190,10,-16,29,3379,10.373390404111557,-4.286848910227873
782,6045,WOODSLEE CDA AUTOMATIC CLIMATE STATION,ON,-82.7333,42.2167,183,10,-15,29,3399,10.546375569046994,-4.315023156750626
783,6048,POINT PELEE,ON,-82.5167,41.95,177,10,-16,27,3461,10.753981582871328,-4.547676802314419
784,6063,BRANTFORD MOE,ON,-80.2333,43.1333,196,8,-18,26,3937,12.1703238324863,-3.0533645399212452
785,6073,CROMARTY,ON,-81.3333,43.4167,328,8,-18,27,4137,11.327074768748721,-2.9411848050342453
786,6074,CULLODEN EASEY,ON,-80.8467,42.8895,280,8,-17,27,3902,11.782121626831206,-3.385613864490602
787,6087,FERGUS SHAND DAM,ON,-80.3303,43.7347,418,7,-19,26,4253,11.973562357271483,-2.4806352869286536
788,6088,FERGUS MOE,ON,-80.3789,43.7017,396,7,-17,25,4255,11.946180500656526,-2.5203148049109165
789,6089,FOLDENS,ON,-80.7808,43.0184,328,8,-17,27,3901,11.802818962203162,-3.2495454340222203
790,6092,GLEN ALLAN,ON,-80.7103,43.6839,400,7,-19,26,4285,11.715347118043752,-2.58781526238027
791,6095,GRAND VALLEY WPCP,ON,-80.3333,43.8833,465,6,-21,26,4559,11.939964180370309,-2.3358602778749833
792,6099,GUELPH ARBORETUM,ON,-80.2167,43.55,328,7,-17,26,4238,12.093245084716763,-2.643659519903253
793,6108,ILDERTON BEAR CREEK,ON,-81.4333,43.05,267,8,-18,27,3845,11.32856354313463,-3.31504942834024
794,6121,LONDON CS,ON,-81.15,43.0333,278,8,-17,23,3850,11.535116628287028,-3.2900136189344042
795,6132,MONTICELLO,ON,-80.4,43.9667,482,5,-20,25,4691,11.875340169110592,-2.2644885750578165
796,6145,PRESTON,ON,-80.4167,43.4,291,7,-18,27,4071,11.98306561318483,-2.821007126714072
797,6151,ROSEVILLE,ON,-80.4736,43.3536,328,8,-20,24,4188,11.952354474205725,-2.8750681306212913
798,6152,RUSKVIEW,ON,-80.1333,44.2333,472,6,-20,25,4477,12.005951269358317,-1.9632896096268049
799,6159,STRATFORD WWTP,ON,-81.0047,43.3689,345,8,-18,26,4057,11.570910546325573,-2.9399160855948936
800,6161,STRATHROY,ON,-81.65,42.95,229,8,-18,28,3778,11.192629365271387,-3.444290971925007
801,6162,STRATHROY-MULLIFARRY,ON,-81.6428,42.9806,243,9,-16,27,3676,11.191810662133335,-3.4132514563659173
802,6169,WATERLOO WELLINGTON A,ON,-80.3833,43.45,317,7,-17,26,4158,11.996249233882299,-2.767016061611644
803,6173,WOODSTOCK,ON,-80.7706,43.1361,282,8,-17,27,3920,11.785799537197978,-3.13284052569434
804,6176,ELORA AUTOMATIC CLIMATE STATION,ON,-80.4167,43.65,376,7,-19,24,4268,11.930342238677156,-2.5766172477994584
805,6192,BELLEVILLE,ON,-77.3947,44.1506,76,8,-19,26,3910,13.936456970299941,-1.5905322191931184
806,6195,BLACKSTOCK,ON,-78.8333,44.1,291,7,-19,27,4149,12.945302739494345,-1.886213506972899
807,6200,BOWMANVILLE MOSTERT,ON,-78.6667,43.9167,99,7,-18,25,3999,13.104326222048623,-2.0368723211683046
808,6204,BRADFORD MUCK RESEARCH,ON,-79.6,44.0333,221,7,-20,27,4261,12.423288218542075,-2.07532116856368
809,6216,BURKETON MCLAUGHLIN,ON,-78.8,44.0333,312,7,-20,25,4269,12.98396334043673,-1.9456140465990561
810,6227,CAMBORNE,ON,-78.2167,44.05,175,7,-18,24,4122,13.387933314906906,-1.8312767142835416
811,6236,CENTREVILLE,ON,-76.9078,44.4034,150,7,-22,22,4253,14.210738204995435,-1.2584926692926106
812,6244,COBOURG STP,ON,-78.1833,43.9667,79,8,-18,25,3987,13.431092717642924,-1.9064779158935732
813,6250,COPETOWN,ON,-80.1167,43.25,229,8,-17,26,3952,12.228510396755627,-2.921194219220219
814,6252,CRESSY,ON,-76.85,44.1,84,8,-19,25,3932,14.327793343245277,-1.5414624437518731
815,6262,GEORGETOWN WWTP,ON,-79.8792,43.64,221,7,-19,26,4263,12.31280182233183,-2.5031706747586946
816,6267,GORMLEY ARDENLEE,ON,-79.3833,43.8667,198,7,-19,27,4091,12.612519283256612,-2.203136713592852
817,6273,HAMILTON A,ON,-79.9342,43.1717,238,8,-17,27,3907,12.37546741076384,-2.9689855230488806
818,6278,HAMILTON RBG,ON,-79.8833,43.2833,102,9,-16,28,3750,12.387474338992014,-2.851997203751697
819,6279,HAMILTON RBG CS,ON,-79.9083,43.2917,102,9,-14,27,3642,12.367862378820393,-2.847748537093577
820,6293,JANETVILLE,ON,-78.6333,44.2167,297,7,-21,26,4392,13.057972763569062,-1.7395011092485384
821,6294,KALADAR,ON,-77.1172,44.6478,215,7,-21,27,4144,14.004623047146392,-1.0596148068915552
822,6298,KING SMOKE TREE,ON,-79.5167,44.0167,352,7,-20,27,4225,12.48541277998624,-2.07826530969464
