,id,station_name,province,lon,lat,elev,SL50 (kPa),rlon,rlat
90,2077,CLINTON POINT,NU,-120.8,69.5833,101,1.6,-8.826311309401945,23.44235374761187
91,2078,CONTWOYTO LAKE,NU,-110.367,65.4833,451,4.0,-5.8054537397209645,18.483281173616597
92,2079,COPPERMINE,NU,-115.117,67.8333,9,2.6,-7.228312890761027,21.17831673796546
93,2080,KUGLUKTUK A,NU,-115.14399999999999,67.8167,23,2.9,-7.243285175467381,21.164734286306757
94,2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,2.7,6.170803303022934,17.235601653792568
95,2091,ENNADAI LAKE,NU,-100.9,61.1333,325,2.8,-1.9366766682370051,13.681900442512509
96,2110,PELLY BAY,NU,-89.7167,68.4333,326,3.3,2.8624662073599754,21.067501083406018
97,2117,RANKIN INLET A,NU,-92.1167,62.8167,32,2.4,2.3116704332428544,15.389341884371548
98,2141,ALERT,NU,-62.2806,82.5178,30,2.3,5.2749625457498235,36.222662646628834
99,2155,FOX FIVE,NU,-63.7889,67.5356,584,6.3,13.129046420759014,22.868701178463567
100,2162,BYRON BAY A,NU,-109.06700000000001,68.75,92,1.2,-4.674782885449549,21.61343274960767
101,2163,CAMBRIDGE BAY A,NU,-105.13799999999999,69.1081,31,1.6,-3.1159972251081784,21.771353847100382
102,2173,CAPE DYER A,NU,-61.6167,66.5833,393,8.4,14.412454916130438,22.39945260697579
103,2175,CAPE HOOPER,NU,-66.8153,68.4725,390,5.2,11.583229823915062,23.241209751869288
104,2179,CLYDE A,NU,-68.5167,70.4861,26,4.8,10.111462339176834,24.854671892755793
105,2186,DEWAR LAKES,NU,-71.1667,68.65,527,3.9,9.909844813640515,22.807411148594248
106,2193,EUREKA A,NU,-85.9333,79.9833,10,0.9,2.272431308433523,32.64541886648805
107,2200,GLADMAN POINT A,NU,-97.8,68.6667,14,1.2,-0.31208441667822434,21.168306359986623
108,2204,HALL BEACH A,NU,-81.2425,68.7758,9,2.2,6.082122147370087,21.893848234284437
109,2216,IQALUIT A,NU,-68.55,63.75,34,2.3,12.846172943570908,18.615143558311996
110,2221,ISACHSEN,NU,-103.53299999999999,78.7833,25,1.6,-1.4849252212430886,31.345755932126362
111,2230,LONGSTAFF BLUFF,NU,-75.1408,68.8986,161,3.4,8.34718788299684,22.577846279580037
112,2231,MACKAR INLET,NU,-85.6667,68.3,395,2.8,4.467676573336247,21.12615228933823
113,2263,RESOLUTE CARS,NU,-94.9694,74.7169,68,1.4,0.6018099385145664,27.224762925109236
114,2295,MOULD BAY A,NT,-119.333,76.2333,12,1.2,-5.969241673105273,29.59681105435813
115,2299,SACHS HARBOUR A,NT,-125.26700000000001,72.0,86,1.1,-9.3888415938028,26.222748150746305
116,2332,BRIGHTVIEW,AB,-113.71700000000001,52.9833,815,1.8,-10.039006639652118,6.564121184996623
117,2363,CORONATION A,AB,-111.45,52.0667,791,1.8,-8.863542897471344,5.391313639347458
118,2385,EDMONTON CITY CENTRE A,AB,-113.51799999999999,53.5733,671,1.7,-9.795709266970313,7.1153958025878365
119,2387,EDMONTON NAMAO A,AB,-113.46700000000001,53.6667,688,1.7,-9.74605025536421,7.20031278290669
120,2394,EDMONTON STONY PLAIN,AB,-114.10799999999999,53.5475,766,1.4,-10.146227458310676,7.165517526809998
121,2468,LLOYDMINSTER A,AB,-110.072,53.3092,668,1.2,-7.816700497910845,6.467027949933973
122,2501,PARADISE VALLEY,AB,-110.35,53.1167,658,1.2,-8.01463445560685,6.305541257003819
123,2518,ROCKY MTN HOUSE,AB,-114.917,52.3833,1015,2.5,-10.886185966541683,6.139577167823878
124,2567,UNCAS,AB,-113.03299999999999,53.5,750,2.0,-9.527016403047012,6.98369096721194
125,2570,VEGREVILLE CDA,AB,-112.03299999999999,53.4833,636,1.4,-8.94303792876865,6.849001617251035
126,2572,VERMILION A,AB,-110.833,53.35,619,2.1,-8.260182462283357,6.5856745408813815
127,2719,LACOMBE CDA,AB,-113.75,52.4667,847,2.0,-10.169656485245808,6.063709187450945
128,2731,MARKERVILLE,AB,-114.133,52.1167,914,2.1,-10.47561217851205,5.772569187380431
129,2757,RED DEER A,AB,-113.89299999999999,52.1786,905,1.9,-10.317618290854872,5.801064729915265
130,2883,COCHRANE,AB,-114.434,51.1969,1332,1.6,-10.861806565950413,4.916387552544458
131,2938,LETHBRIDGE A,AB,-112.8,49.6303,929,0.9,-10.173529005346774,3.16518878430455
132,2943,LETHBRIDGE CDA,AB,-112.76700000000001,49.695,910,1.0,-10.139555795803165,3.2242799425895714
133,2955,MEDICINE HAT A,AB,-110.721,50.0189,717,1.1,-8.78098449257167,3.294490341736107
134,3017,SUFFIELD A,AB,-111.18299999999999,50.2667,770,1.2,-9.028653520187895,3.5910565071829694
135,3049,OKOTOKS,AB,-113.961,50.7292,1081,1.1,-10.672781136320898,4.394858083561403
136,3096,BANFF,AB,-115.56700000000001,51.1833,1384,3.2,-11.558827532360517,5.0655475865321336
137,3153,JASPER,AB,-118.06700000000001,52.8833,1062,2.8,-12.626067082342265,7.097323706908893
138,3159,KANANASKIS,AB,-115.035,51.0275,1391,2.3,-11.26905824222256,4.8363904848695105
139,3317,EDSON A,AB,-116.46700000000001,53.5833,927,3.0,-11.51139931173636,7.52710801321648
140,3336,FORT MCMURRAY A,AB,-111.21700000000001,56.65,369,1.8,-7.876901137946268,9.871182472145804
141,3427,RONAN,AB,-115.25,53.8833,732,2.6,-10.733684917502696,7.645226302241052
142,3441,SHINING BANK,AB,-115.96700000000001,53.85,829,2.3,-11.156081337022442,7.7132460076581975
143,3450,SLAVE LAKE A,AB,-114.78299999999999,55.3,581,2.8,-10.137658918282566,8.961434607356354
144,3474,WHITECOURT,AB,-115.667,54.1333,741,3.0,-10.914612003503843,7.945925692469452
