,ilocy,ilocx,TJan2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
114,703,1164,246.95,2.1447730523095254,17.227659227146034,46.8018,-71.3825,QUEBEC/JEAN LESAGE INTL A,1.0091351924671377,245.6051632591175,1.0036396586208232
115,703,1165,248.45,2.14518437871605,17.296210159902433,46.7803,-71.2875,STE-FOY (U. LAVAL),1.01513278750674,245.63709915899835,1.0036396586208232
116,703,1297,256.9,2.128953378684263,23.140941254444094,44.63485,-63.50335,SHEARWATER A,0.9702769961173895,265.73342388970246,1.0036396586208232
117,704,822,242.54999999999998,2.2086745166837503,2.115654319335818,49.6642,-93.7328,RAWSON LAKE (AUT),1.0088031652402585,241.30852041934685,1.0036396586208232
118,705,1166,248.74999999999997,2.2186124972632277,17.336633694257245,46.8369,-71.1972,BEAUPORT,1.016967334815899,245.49005315605808,1.0036396586208232
119,705,1279,255.64999999999998,2.245163530071908,22.330642996726787,45.0667,-64.4833,KENTVILLE CDA CS,0.9894911423582841,259.3054831343891,1.0036396586208232
120,707,813,241.45,2.3191516259454263,1.7019727769211224,49.7903,-94.3653,KENORA A,1.0057500259362475,240.94336497621777,1.0036396586208232
121,708,576,245.45,2.3773939182474364,-8.775282388866069,49.1167,-110.46700000000001,ONEFOUR CDA,0.9980879359221052,246.81528084085232,1.0036396586208232
122,708,675,240.84999999999997,2.392352772509108,-4.39599211308612,49.7,-103.8,WEYBURN,0.9953852123017696,242.84730051378472,1.0036396586208232
123,708,773,245.24999999999997,2.3883694702034233,-0.08344225224319311,49.8883,-97.1294,WINNIPEG THE FORKS,1.0231568013957977,240.57175394911843,1.0036396586208232
124,708,1295,254.45,2.353824406162802,23.043207937173968,44.88,-63.5,HALIFAX STANFIELD INT'L A,0.9763818307165192,261.5535266040954,1.0036396586208232
125,709,740,240.34999999999997,2.4288455569653005,-1.5193890618839296,49.9058,-99.3574,CARBERRY CS,0.9956264848695939,242.2844265549145,1.0036396586208232
126,709,756,242.7,2.4082970065400016,-0.822175238613512,49.90155,-98.27539999999999,PORTAGE SOUTHPORT A,1.0082104004765269,241.5997147342906,1.0036396586208232
127,709,771,241.04999999999998,2.4169256900823712,-0.15035553299554535,49.9167,-97.2333,WINNIPEG RICHARDSON INT'L A,1.005110910088281,240.69715817660403,1.0036396586208232
128,709,1139,241.64999999999998,2.4266194219063992,16.12848954456477,47.4111,-72.7875,LA TUQUE,0.9904943800406918,244.85704148645266,1.0036396586208232
129,709,1242,249.14999999999998,2.4355673986902304,20.695842322706284,45.8721,-66.5279,FREDERICTON A,0.994848956825898,251.35154359833024,1.0036396586208232
130,710,732,239.95,2.4461289022730366,-1.9022360052764455,49.91,-99.9519,BRANDON A,0.9951937883451234,241.98637381622336,1.0036396586208232
131,710,1241,250.14999999999998,2.4592027999967008,20.625475230667618,45.9203,-66.6089,FREDERICTON CDA CS,0.9991771751798272,251.26720950047144,1.0036396586208232
132,711,1240,250.34999999999997,2.488051035602571,20.57950507371926,45.9642,-66.6547,FREDERICTON AQUATIC CENTRE C/S,1.0002083455990265,251.20885027733127,1.0036396586208232
133,712,599,244.45,2.537436513099903,-7.770754446701081,49.4378,-108.98899999999999,EASTEND CYPRESS (AUT),0.9979706281033537,245.8386125212213,1.0036396586208232
134,712,644,242.64999999999998,2.5616572968723665,-5.774769190126448,49.7292,-105.946,ASSINIBOIA AIRPORT,0.9962663925235538,244.44582793510733,1.0036396586208232
135,712,1109,238.64999999999998,2.554484863956163,14.795047971056874,47.9222,-74.6242,PARENT,0.9848466427532593,243.20396103524897,1.0036396586208232
136,712,1171,248.84999999999997,2.5392780243252058,17.527497992979473,47.0786,-70.7808,CAP-TOURMENTE,1.0173677066248015,245.49209437399617,1.0036396586208232
137,712,1355,264.45,2.558199415687226,25.705259485464225,43.9322,-60.0094,SABLE ISLAND,0.9629701995319575,275.618609850313,1.0036396586208232
138,713,553,244.95,2.5820012344151984,-9.791876818087163,49.1333,-112.05,MILK RIVER,0.9931181893389178,247.54509283816287,1.0036396586208232
139,713,1268,253.34999999999997,2.605983214039064,21.81846865676879,45.6,-64.95,FUNDY PARK (ALMA) CS,0.996150018992006,255.25483377381337,1.0036396586208232
140,713,1278,252.64999999999998,2.601610143838706,22.28150390075132,45.4133,-64.3461,PARRSBORO,0.9976323721443915,254.1713429021034,1.0036396586208232
141,714,1313,258.04999999999995,2.6382692426494847,23.823232593596096,44.8167,-62.3333,BEAVER ISLAND (AUT),0.9518800498647886,272.0817753706383,1.0036396586208232
142,715,754,242.34999999999997,2.69047932872118,-0.8860081616431726,50.1826,-98.3822,DELTA MARSH CS,1.0078866504426751,241.32879541556204,1.0036396586208232
143,715,788,239.24999999999997,2.6808083374383638,0.5996210592201111,50.1772,-96.0647,PINAWA,0.9974166611056223,240.74270832699085,1.0036396586208232
144,715,921,237.14999999999998,2.703334463357099,6.489334819136607,49.7828,-86.9306,GERALDTON A,0.987578710536128,241.0067597677533,1.0036396586208232
145,715,1163,241.74999999999997,2.6894220377912768,17.21183514335496,47.3228,-71.1483,FORET MONTMORENCY RCS,0.9887479833713285,245.3910314378495,1.0036396586208232
146,716,848,239.24999999999997,2.724053173483273,3.2714077284853,50.1167,-91.9,SIOUX LOOKOUT A,0.9987753470948371,240.41521351470809,1.0036396586208232
147,716,1309,252.24999999999997,2.745014568619623,23.65676532780182,44.9833,-62.4833,MALAY FALLS,0.9440746460915739,268.1653457543925,1.0036396586208232
148,717,592,244.74999999999997,2.791091450100094,-8.07580326635713,49.6406,-109.514,CYPRESS HILLS PARK,0.9994298945173533,245.78092750174517,1.0036396586208232
149,717,987,238.14999999999998,2.7894631980448867,9.423677975689014,49.4064,-82.4436,KAPUSKASING CDA ON,0.9897174833697571,241.50001259627408,1.0036396586208232
150,717,1171,245.14999999999998,2.765421761788179,17.55235818730697,47.2842,-70.6375,CHARLEVOIX (MRC),1.002586110828929,245.40761103050718,1.0036396586208232
151,718,528,244.95,2.812988203747359,-10.92062877066302,49.1311,-113.809,WATERTON PARK GATE,0.9992725095486183,246.02051195246005,1.0036396586208232
152,718,536,245.84999999999997,2.8090390132346363,-10.571265786085739,49.2006,-113.286,CARDSTON,1.0003061018183323,246.66930414940242,1.0036396586208232
