,ilocy,ilocx,HDD (degC-day),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
442,712,1229,5372.15,2.543272234514257,20.125117322318697,46.1833,-67.2333,MAPLETON,1.148847340651678,4570.002824655604,0.9773062166686053
443,712,1238,5308.15,2.5516354407498194,20.50751112763191,46.05,-66.7167,ROYAL ROAD,1.1700696355226299,4433.657482011568,0.9773062166686053
444,712,1258,4716.15,2.5551516497549285,21.39703724448969,45.7167,-65.5333,SUSSEX,1.1062394605849937,4166.478305975705,0.9773062166686053
445,712,1355,4046.15,2.558199415687226,25.705259485464225,43.9322,-60.0094,SABLE ISLAND,1.6840534816294066,2348.1009313003924,0.9773062166686053
446,713,553,5063.15,2.5820012344151984,-9.791876818087163,49.1333,-112.05,MILK RIVER,1.004257172316063,4927.271726139408,0.9773062166686053
447,713,1177,5357.15,2.592920434280473,17.819878310600807,47.0333,-70.35,LAMARTINE,1.0087638853903218,5190.090639099766,0.9773062166686053
448,713,1244,5066.15,2.5880834006331126,20.757678859211282,45.9903,-66.3633,ACADIA FOREST EXP ST,1.1320745444911702,4373.545817869304,0.9773062166686053
449,713,1264,5041.15,2.612766678734319,21.66351545348529,45.6667,-65.15,WOLFE LAKE CS,1.230805552784449,4002.863996683447,0.9773062166686053
450,713,1268,4619.15,2.605983214039064,21.81846865676879,45.6,-64.95,ALMA,1.1401466118205514,3959.424133635281,0.9773062166686053
451,713,1278,4637.15,2.5929897681063143,22.295057999272316,45.4,-64.3333,PARRSBORO,1.1714167232577495,3868.7475026149637,0.9773062166686053
452,714,533,5210.15,2.6247434806866274,-10.670716836211362,48.9997,-113.376,CARWAY,0.8906264974031687,5717.224896881691,0.9773062166686053
453,714,624,5288.15,2.65724539890561,-6.645855250272714,49.7167,-107.3,ANEROID,1.0166652339934545,5083.425395964075,0.9773062166686053
454,714,722,6037.15,2.6545108371310495,-2.331970639315499,50.1,-100.633,OAKNER,1.06490731531631,5540.523706711834,0.9773062166686053
455,714,772,5888.15,2.616814766031618,-0.107003867454187,50.1167,-97.1667,STONY MOUNTAIN,1.0716193183802447,5369.934547629496,0.9773062166686053
456,714,1009,6566.15,2.635152432203594,10.394038056827705,49.0667,-81.0333,COCHRANE,1.1454532905217598,5602.27053139419,0.9773062166686053
457,714,1186,5795.15,2.659356556594008,18.206800425724534,46.9667,-69.7833,ST PAMPHILE,1.1167054255384528,5071.736907516301,0.9773062166686053
458,714,1299,4614.15,2.640022632473893,23.22509884639864,45.0667,-63.1,MIDDLE MUSQUODOBOIT,1.1696822730170247,3855.267010253998,0.9773062166686053
459,715,737,5804.15,2.677185304459422,-1.6461626722303258,50.15,-99.5667,NEEPAWA MURRAY 6 SOUTHWEST,1.0488861619983272,5408.052926039205,0.9773062166686053
460,715,745,5879.15,2.7000726518314337,-1.2926387503021448,50.1833,-99.0167,GLADSTONE SOUTH,1.079774360455194,5321.23196674631,0.9773062166686053
