,ilocy,ilocx,Q10_Gumbel-MM,rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
35,663,1138,0.28,0.37857540410213814,16.077265709536555,45.47055556,-73.74083333,MONTREAL INTL A,1.431716377687591,0.19008564507259174,0.971959754334786
36,664,1140,0.045,0.4443774501594452,16.175677570505083,45.50474167,-73.57916667,MCTAVISH,0.21495820966699355,0.20347298673925124,0.971959754334786
37,666,1132,0.175,0.5192700488528611,15.816969557831044,45.68055556,-74.03861111,MONTREAL MIRABEL INTL A,0.9509378208352107,0.17886864238841033,0.971959754334786
38,666,1142,0.314,0.48999635800437125,16.28058561419673,45.5175,-73.41694444,MONTREAL-ST-HUBERT,1.4438559735488115,0.2113752122457145,0.971959754334786
39,668,1049,0.086,0.611689446314243,12.166437121629148,46.70972222,-79.10111111,BARRAGE TEMISCAMINGUE,1.0837950444025979,0.07712578065797182,0.971959754334786
40,669,1266,0.317,0.6582772202422525,21.75509070422866,43.82694444,-66.08805556,YARMOUTH A,0.524086200215134,0.5879018413338293,0.971959754334786
41,670,1142,0.28600000000000003,0.6947066382437866,16.246814370360987,45.72305556,-73.37666667,VARENNES,1.308904235097422,0.21237649194332286,0.971959754334786
42,670,1167,0.15,0.6886675344034751,17.390730548630025,45.36888889,-71.82361111,LENNOXVILLE,1.6273948135120164,0.08958733427175283,0.971959754334786
43,671,1099,0.127,0.7156465063613154,14.348220031587388,46.27472222,-75.99194444,MANIWAKI AIRPORT,1.5961958187983416,0.07733317387928373,0.971959754334786
44,672,1140,0.159,0.7652954192167273,16.18261869647524,45.80944444,-73.43472222,L'ASSOMPTION,0.7395490924713924,0.2089673322737652,0.971959754334786
45,672,1169,0.18100000000000002,0.7840438481593633,17.456938030254612,45.43861111,-71.69138889,SHERBROOKE,1.8734047068053679,0.09390641269103712,0.971959754334786
46,673,1122,0.051,0.799998920943068,15.358009694295855,46.08027778,-74.55583333,ST-JOVITE,0.5733939901746623,0.08645006456376446,0.971959754334786
47,673,1126,0.182,0.8244914525008411,15.547936197870108,46.05,-74.28333333,STE AGATHE DES MONTS,1.6854773861917962,0.10495345516833969,0.971959754334786
48,677,1258,0.47200000000000003,1.013103054271252,21.40977380568075,44.28583333,-66.34666667,BRIER ISLAND,0.7791382686784596,0.5888107701655526,0.971959754334786
49,679,959,0.16,1.1072002167220376,8.144863040258011,47.96694444,-84.78638889,WAWA A,0.7323981797144633,0.21233471764525017,0.971959754334786
50,680,890,0.22,1.123588995196667,5.093086699236781,48.37194444,-89.32166667,THUNDER BAY A,2.0550345159794143,0.10405233794905025,0.971959754334786
51,682,1286,0.301,1.2052816300768616,22.63821273524277,43.99001944,-64.66416889,WESTERN HEAD,0.7835274176015984,0.3733881922732269,0.971959754334786
52,684,1149,0.22699999999999998,1.324226130258862,16.573181133601576,46.22583333,-72.65722222,NICOLET,1.1991415165349868,0.18399401671250454,0.971959754334786
53,686,854,0.11699999999999999,1.3834476126927673,3.5392813362570417,48.76111111,-91.62805556,ATIKOKAN (AUT),0.77977493101098,0.1458360441387012,0.971959754334786
54,687,1033,0.22,1.4595507371864511,11.452180728681906,47.695,-79.84888889,EARLTON A,2.381524521974631,0.08978750543217406,0.971959754334786
55,688,1150,0.22899999999999998,1.4756457357241934,16.6271170400325,46.35361111,-72.51611111,TROIS-RIVIERES,1.3076098523075828,0.17021803816319814,0.971959754334786
56,689,766,0.345,1.5321578097717676,-0.3672940852556362,49.03083444,-97.56000083,GRETNA (AUT),0.8753663619445773,0.38306945505718654,0.971959754334786
57,689,795,0.171,1.5319026633467594,0.9194147961794182,49.02361111,-95.59833583,SPRAGUE,0.7498473770581797,0.22165192954772817,0.971959754334786
58,691,1237,0.10400000000000001,1.6327235234971353,20.468971389030212,45.21016667,-67.25286111,ST. STEPHEN,0.36848277142770225,0.27432439801503933,0.971959754334786
59,692,949,0.11699999999999999,1.682248851832476,7.721145960612029,48.6,-85.28333333,WHITE RIVER,0.9508057353149106,0.11960307666792278,0.971959754334786
60,693,746,0.276,1.706290339740612,-1.2453221511382133,49.19102778,-98.90486111,PILOT MOUND (AUT),0.755098134811959,0.35526626252785753,0.971959754334786
61,693,1177,0.087,1.7124441297757003,17.80970706466286,46.205,-70.785,BEAUCEVILLE,0.8038122977207772,0.10519930942447514,0.971959754334786
62,696,649,0.302,1.8530514501478257,-5.551265309445778,49.05,-105.48333329999998,CORONACH SPC,0.7513078322434089,0.3906945105744709,0.971959754334786
63,696,686,0.33899999999999997,1.8598123330635636,-3.8954003503245587,49.21027778,-102.9658333,ESTEVAN A,0.81389032751629,0.4048387670670501,0.971959754334786
64,696,716,0.222,1.8479818411730005,-2.6006345964591766,49.28127778,-100.9863611,MELITA,0.5984511191689131,0.3605558725698027,0.971959754334786
65,700,618,0.292,2.02968059125335,-6.918528831774791,49.05833361,-107.58583610000001,VAL MARIE SOUTHEAST,0.7609811290815699,0.3729556981370763,0.971959754334786
66,700,759,0.17800000000000002,2.0025447055693135,-0.6691828279800607,49.49811111,-98.02975,CARMAN U OF M CS,0.5013760904139237,0.34506798305591335,0.971959754334786
67,701,1273,0.324,2.0477919209758024,22.081841079598306,44.98333333,-64.91666667,GREENWOOD A,0.9695198947596784,0.32481536697349656,0.971959754334786
68,702,1007,0.134,2.1037091825759284,10.272107662608434,48.57055556,-81.37666667,TIMMINS A,1.151736630683798,0.11308367174493265,0.971959754334786
69,702,1043,0.141,2.117947158040492,11.861593259295349,48.24583333,-79.03416667,ROUYN,1.3733742072929305,0.09978804366170382,0.971959754334786
70,702,1046,0.159,2.1095497258728697,11.999579208352097,48.20611111,-78.83555556,ROUYN-NORANDA A,1.4119354222366998,0.10945373173966826,0.971959754334786
71,702,1062,0.152,2.1272375140852886,12.718936624841794,48.05333333,-77.78277778,VAL D'OR A,1.0068726629548326,0.14672946053111272,0.971959754334786
72,702,1256,0.264,2.0893637137531003,21.319625857738036,45.31611111,-65.89,SAINT JOHN A,0.5814217073119682,0.44132747697138075,0.971959754334786
73,703,1164,0.262,2.132277043565629,17.22403660651413,46.79111111,-71.39333333,QUEBEC INTL A,1.8064065264142464,0.14097239569943662,0.971959754334786
