,ilocy,ilocx,SL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
92,671,1267,2.6,0.7390764935272756,21.803607253579266,43.8833,-65.9833,TUSKET,2.792525552852905,0.6628687933832479,0.7119530937351894
93,672,1140,2.6,0.7652575197208127,16.182646599358296,45.8094,-73.4347,L'ASSOMPTION,1.117326992543203,1.6567021615562716,0.7119530937351894
94,672,1165,2.1,0.7695743040876517,17.270669708561627,45.4833,-71.95,BROMPTONVILLE,0.6988191965892996,2.13946826896139,0.7119530937351894
95,672,1169,3.1,0.7807929838028224,17.463999638422727,45.4333,-71.6833,SHERBROOKE A,0.9739303493940499,2.2661318562998374,0.7119530937351894
96,673,1126,4.0,0.8244980392844867,15.547958374592634,46.05,-74.2833,STE AGATHE DES MONTS,1.289799287230713,2.2079500300044397,0.7119530937351894
97,673,1131,3.9,0.816943782864911,15.7555788147033,45.9833,-74.0,ST HIPPOLYTE,1.3449758972317838,2.064436300518132,0.7119530937351894
98,674,1147,2.4,0.8463890909946689,16.47479579678509,45.8,-73.0,FLEURY,1.0356016960099221,1.6499465301648981,0.7119530937351894
99,674,1178,3.0,0.8834959655618496,17.87385061537259,45.4,-71.0833,NOTRE DAME DES BOIS,0.8926320850346537,2.392765526821333,0.7119530937351894
100,677,881,3.8,0.9978671020460085,4.707577833482668,48.2833,-89.9167,WHITEFISH LAKE,1.3554356854155578,1.9959794369470762,0.7119530937351894
101,678,1117,3.0,1.0340555599277181,15.137667577989024,46.3667,-74.7667,LA MACAZA,0.8739515067148608,2.443910519971703,0.7119530937351894
102,678,1143,2.5,1.0447050148731867,16.327496188013978,46.0333,-73.1167,SOREL,1.0387726256906689,1.7134478617537199,0.7119530937351894
103,678,1154,2.5,1.0348232563982545,16.79264234742965,45.8833,-72.4833,DRUMMONDVILLE,0.993610535599231,1.7913283631443724,0.7119530937351894
104,678,1172,3.2,1.0408049695193322,17.61091405605013,45.6333,-71.3667,LINGWICK,0.9337448441384528,2.4399062701703063,0.7119530937351894
105,678,1177,3.7,1.0494863716117762,17.79263385317223,45.5833,-71.1167,MILAN,1.067918933909662,2.46669139686125,0.7119530937351894
106,679,959,4.4,1.1072814606393633,8.146944438375767,47.9667,-84.7833,WAWA A,1.1875931374093476,2.6377666843615906,0.7119530937351894
107,679,1135,3.6,1.1048802078623199,15.95810005194841,46.2,-73.6,STE BEATRIX,1.2010496449443007,2.133992669025387,0.7119530937351894
108,680,890,3.5,1.1206948848156557,5.08967868562008,48.3694,-89.3272,THUNDER BAY A,1.1942748050080476,2.0864844654044026,0.7119530937351894
109,680,981,3.1,1.1215982693691606,9.121374066660865,47.82,-83.3467,CHAPLEAU A,1.0144055749182697,2.1757122054035527,0.7119530937351894
110,680,1147,2.1,1.1514404604556916,16.500102870276372,46.0833,-72.8333,PIERREVILLE,0.8759068347398314,1.7069184044990178,0.7119530937351894
