,ilocy,ilocx,TJan2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
83,703,1297,256.15,2.1285083347995943,23.143751611246888,44.6333,-63.5,SHEARWATER A,0.9683114647967569,265.73342388970246,1.0045392189423983
84,705,1166,248.74999999999997,2.2186124972632277,17.336633694257245,46.8369,-71.1972,BEAUPORT,1.0178788407083579,245.49005315605808,1.0045392189423983
85,705,1279,255.64999999999998,2.245163530071908,22.330642996726787,45.0667,-64.4833,KENTVILLE CDA CS,0.9903780213915805,259.3054831343891,1.0045392189423983
86,707,813,241.45,2.3191516259454263,1.7019727769211224,49.7903,-94.3653,KENORA A,1.006651477776043,240.94336497621777,1.0045392189423983
87,708,675,240.84999999999997,2.392352772509108,-4.39599211308612,49.7,-103.8,WEYBURN,0.996277374178772,242.84730051378472,1.0045392189423983
88,708,773,245.24999999999997,2.3883694702034233,-0.08344225224319311,49.8883,-97.1294,WINNIPEG THE FORKS,1.0240738548954074,240.57175394911843,1.0045392189423983
89,708,1295,254.45,2.353824406162802,23.043207937173968,44.88,-63.5,HALIFAX STANFIELD INT'L A,0.9772569598986665,261.5535266040954,1.0045392189423983
90,709,740,240.34999999999997,2.4288455569653005,-1.5193890618839296,49.9058,-99.3574,CARBERRY CS,0.9965188629987412,242.2844265549145,1.0045392189423983
91,709,756,242.7,2.4082970065400016,-0.822175238613512,49.90155,-98.27539999999999,PORTAGE SOUTHPORT A,1.009114057545354,241.5997147342906,1.0045392189423983
92,709,771,241.04999999999998,2.4169256900823712,-0.15035553299554535,49.9167,-97.2333,WINNIPEG RICHARDSON INT'L A,1.0060117890897546,240.69715817660403,1.0045392189423983
93,709,1139,241.64999999999998,2.4266194219063992,16.12848954456477,47.4111,-72.7875,LA TUQUE,0.9913821582740193,244.85704148645266,1.0045392189423983
94,709,1242,249.14999999999998,2.4355673986902304,20.695842322706284,45.8721,-66.5279,FREDERICTON A,0.9957406380581351,251.35154359833024,1.0045392189423983
95,710,732,239.95,2.4461289022730366,-1.9022360052764455,49.91,-99.9519,BRANDON A,0.9960857786491968,241.98637381622336,1.0045392189423983
96,712,599,244.45,2.537436513099903,-7.770754446701081,49.4378,-108.98899999999999,EASTEND CYPRESS (AUT),0.9988651072836331,245.8386125212213,1.0045392189423983
97,712,644,242.64999999999998,2.5616572968723665,-5.774769190126448,49.7292,-105.946,ASSINIBOIA AIRPORT,0.997159344200717,244.44582793510733,1.0045392189423983
98,712,1109,238.64999999999998,2.554484863956163,14.795047971056874,47.9222,-74.6242,PARENT,0.9857293589303728,243.20396103524897,1.0045392189423983
99,712,1171,248.84999999999997,2.5392780243252058,17.527497992979473,47.0786,-70.7808,CAP-TOURMENTE,1.018279571369753,245.49209437399617,1.0045392189423983
100,712,1355,264.45,2.558199415687226,25.705259485464225,43.9322,-60.0094,SABLE ISLAND,0.9638333078945233,275.618609850313,1.0045392189423983
101,713,553,244.95,2.5820012344151984,-9.791876818087163,49.1333,-112.05,MILK RIVER,0.9940083192875405,247.54509283816287,1.0045392189423983
102,713,1268,253.34999999999997,2.605983214039064,21.81846865676879,45.6,-64.95,FUNDY PARK (ALMA) CS,0.9970428663637937,255.25483377381337,1.0045392189423983
103,715,754,242.34999999999997,2.69047932872118,-0.8860081616431726,50.1826,-98.3822,DELTA MARSH CS,1.0087900173349615,241.32879541556204,1.0045392189423983
104,715,788,239.24999999999997,2.6808083374383638,0.5996210592201111,50.1772,-96.0647,PINAWA,0.9983106437663329,240.74270832699085,1.0045392189423983
105,715,921,237.14999999999998,2.703334463357099,6.489334819136607,49.7828,-86.9306,GERALDTON A,0.9884638754604111,241.0067597677533,1.0045392189423983
106,715,1163,241.74999999999997,2.6894220377912768,17.21183514335496,47.3228,-71.1483,FORET MONTMORENCY RCS,0.989634196312635,245.3910314378495,1.0045392189423983
107,716,848,239.24999999999997,2.724053173483273,3.2714077284853,50.1167,-91.9,SIOUX LOOKOUT A,0.9996705475432216,240.41521351470809,1.0045392189423983
108,717,592,244.74999999999997,2.791091450100094,-8.07580326635713,49.6406,-109.514,CYPRESS HILLS PARK,1.0003256816353507,245.78092750174517,1.0045392189423983
109,717,987,238.14999999999998,2.7894631980448867,9.423677975689014,49.4064,-82.4436,KAPUSKASING CDA ON,0.9906045652720725,241.50001259627408,1.0045392189423983
110,718,528,244.95,2.812988203747359,-10.92062877066302,49.1311,-113.809,WATERTON PARK GATE,1.0001681556027668,246.02051195246005,1.0045392189423983
111,718,536,245.84999999999997,2.8090390132346363,-10.571265786085739,49.2006,-113.286,CARDSTON,1.001202674279271,246.66930414940242,1.0045392189423983
112,718,987,238.74999999999997,2.7939506024780143,9.406987093709729,49.4139,-82.4675,KAPUSKASING A,0.9934270297853933,241.42058886228216,1.0045392189423983
113,720,1161,239.45,2.8986000488602337,17.08311893214299,47.5622,-71.2289,L'ETAPE,0.982761571819362,244.75612689093782,1.0045392189423983
114,721,961,237.64999999999998,2.9296590159790448,8.264570518409494,49.7468,-84.1637,NAGAGAMI (AUT),0.9897533950968013,241.20022882903314,1.0045392189423983
115,721,1179,249.95,2.968983998361158,17.9164480090112,47.3558,-70.0319,LA POCATIERE,1.0203561979579705,246.07541785618167,1.0045392189423983
116,722,694,240.04999999999998,2.995535908365118,-3.5550168868492085,50.3681,-102.571,BROADVIEW,0.9978224786536734,241.6658721023041,1.0045392189423983
117,722,723,239.45,3.008132497519388,-2.2962437089641146,50.4549,-100.603,SHOAL LAKE CS,0.9959997419604802,241.50299025408924,1.0045392189423983
118,722,760,241.45,3.003904372048266,-0.6603151832297092,50.4995,-98.0367,OAKPOINT MARINE,1.0060843354689124,241.07918776073282,1.0045392189423983
119,723,594,242.64999999999998,3.044682502865987,-8.003292419347964,49.9025,-109.46600000000001,MAPLE CREEK,0.9925481720513646,245.58147235574046,1.0045392189423983
120,724,564,245.74999999999997,3.098854685759743,-9.295091002394907,49.7342,-111.45,BOW ISLAND,0.99908144382417,247.092481379867,1.0045392189423983
121,725,651,242.2,3.132757897675771,-5.455457025132438,50.332499999999996,-105.55250000000001,MOOSE JAW A,1.0005348251798143,243.16934573878882,1.0045392189423983
122,725,774,240.14999999999998,3.133301139837197,-0.010608356324525762,50.6333,-97.0167,GIMLI,1.0044306047612903,240.1759686388183,1.0045392189423983
123,725,775,243.24999999999997,3.1311012949986092,0.011307615739156248,50.6311,-96.9822,GIMLI HARBOUR CS,1.0174922639448236,240.15333940758995,1.0045392189423983
124,725,1267,250.24999999999997,3.143485364303546,21.790230230835956,46.1053,-64.6838,MONCTON A,0.9948084899156072,252.69782283589177,1.0045392189423983
125,726,489,259.84999999999997,3.170292165436488,-12.649333957750157,49.0817,-116.501,CRESTON CAMPBELL SCIENTIFIC,1.0645727703416763,245.19649883436745,1.0045392189423983
126,726,545,244.54999999999998,3.16518878430455,-10.173529005346774,49.6303,-112.8,LETHBRIDGE A,0.9927907526181907,247.44395064570054,1.0045392189423983
127,726,732,237.45,3.190349735680813,-1.8675357401014678,50.655,-99.9419,WASAGAMING,0.9857130063130976,241.98507680247403,1.0045392189423983
128,726,829,241.95,3.188937835040126,2.3995117841802442,50.6306,-93.2214,EAR FALLS (AUT),1.012923655429631,239.94726820751802,1.0045392189423983
129,727,527,244.14999999999998,3.2197105976804745,-10.956741179292218,49.5206,-113.99700000000001,PINCHER CREEK (AUT),0.9992206248209815,245.4495475898794,1.0045392189423983
130,727,679,240.14999999999998,3.2308577774768055,-4.226503991244114,50.55,-103.65,INDIAN HEAD CDA,0.9998952223784339,241.26537264092852,1.0045392189423983
131,727,781,243.04999999999998,3.2007662956617806,0.2748711630557643,50.7,-96.5667,VICTORIA BEACH (AUT),1.016504458837652,240.18906660097994,1.0045392189423983
132,728,620,242.95,3.239737027524128,-6.847848201400332,50.2667,-107.73299999999999,SWIFT CURRENT CDA,0.9979554521028151,244.55280316151018,1.0045392189423983
133,728,621,242.45,3.2683382675249013,-6.811573228356857,50.3,-107.68299999999999,SWIFT CURRENT A,0.996071357069598,244.51113055705198,1.0045392189423983
134,728,738,244.24999999999997,3.238015104367025,-1.604296915523847,50.7119,-99.53,MCCREARY,1.0136655424081908,242.05094674894036,1.0045392189423983
135,729,576,243.95,3.2973173688406083,-8.779173426636149,50.022000000000006,-110.71900000000001,MEDICINE HAT A,0.9959455552537831,246.05495869556188,1.0045392189423983
136,729,1213,246.04999999999998,3.3020657185607187,19.387549788287743,47.1578,-67.8319,ST LEONARD COMPOSITE,0.9984362094860482,247.55399741362336,1.0045392189423983
137,731,521,244.64999999999998,3.392853431562612,-11.240696431515284,49.6275,-114.48200000000001,CROWSNEST,1.0040064871302379,244.77981274475385,1.0045392189423983
138,732,1263,251.24999999999997,3.419170347604767,21.608220895106566,46.4303,-64.7681,BUCTOUCHE CDA CS,0.9993337860835536,252.55873690452344,1.0045392189423983
139,734,1183,248.04999999999998,3.5026325469840005,18.071611554798213,47.8058,-69.5486,RIVIERE-DU-LOUP,1.0147726126163872,245.54855951050135,1.0045392189423983
140,735,502,249.95,3.5715594149337595,-12.06538588634602,49.6122,-115.78200000000001,CRANBROOK A,1.0336748874295405,242.90478643534559,1.0045392189423983
141,735,1139,242.34999999999997,3.5858890255644726,16.122340479606144,48.5167,-72.2667,ROBERVAL A,0.9998032265143254,243.49799365965737,1.0045392189423983
142,735,1315,255.24999999999997,3.5504531204191316,23.905245644814915,45.6084,-61.6797,TRACADIE,0.9877323342596412,259.5932387160731,1.0045392189423983
143,736,1157,242.54999999999998,3.6254941753179493,16.906447140250897,48.3072,-71.1292,LATERRIERE,0.9991148944683954,243.8668354395011,1.0045392189423983
144,736,1281,251.74999999999997,3.631858308369431,22.414812996378107,46.3028,-63.5756,MAPLE PLAINS,0.9377973220449639,269.6667418683709,1.0045392189423983
145,737,534,244.24999999999997,3.6421323328406863,-10.62702051987502,50.0036,-113.639,CLARESHOLM,0.9955523256598523,246.45485516198954,1.0045392189423983
146,737,731,241.45,3.637937319389797,-1.9207989275895638,51.1002,-100.0535,DAUPHIN A,1.0049349619156334,241.35491708965378,1.0045392189423983
147,737,1158,242.74999999999997,3.677953743438618,16.97946760951628,48.3333,-71.0,BAGOTVILLE A,1.0001060553332266,243.82603634673308,1.0045392189423983
148,737,1160,242.64999999999998,3.662019493356082,17.041652278761006,48.2981,-70.9195,LA BAIE,0.9991944536930476,243.94795284887894,1.0045392189423983
149,737,1256,250.45,3.6767683756974234,21.31198319515317,46.7833,-65.0167,KOUCHIBOUGUAC CS,0.9816546441471808,256.28855207290485,1.0045392189423983
150,738,1276,253.14999999999998,3.6847108442822574,22.195185454543925,46.44,-63.8349,SUMMERSIDE,0.9447323391969771,269.1758212611018,1.0045392189423983
151,739,713,239.74999999999997,3.760196423505861,-2.739158794258717,51.1833,-101.363,ROBLIN,0.9995954309719587,240.93575288480497,1.0045392189423983
152,739,1248,248.95,3.765619747544375,20.94015342387886,47.00945,-65.4664,MIRAMICHI RCS,0.9965825400216557,250.93760778738488,1.0045392189423983
153,739,1287,252.84999999999997,3.745334014783396,22.703007279034583,46.2886,-63.1286,CHARLOTTETOWN A,0.9406511029037881,270.02332823030224,1.0045392189423983
154,740,1052,238.54999999999998,3.7789908287096394,12.297692079301934,49.7578,-77.7931,MATAGAMI,0.9950915428058164,240.81486011128868,1.0045392189423983
155,741,387,271.75,3.8239210122061644,-17.15789936957119,48.4133,-123.325,VICTORIA GONZALES CS,1.0111255969162292,269.9798458076353,1.0045392189423983
156,741,388,273.84999999999997,3.8131068639334633,-17.091967087770012,48.4246,-123.226,DISCOVERY ISLAND,1.0186589679755036,270.05413367547277,1.0045392189423983
157,741,1133,239.24999999999997,3.8382573925206396,15.845783579360823,48.8417,-72.5469,NORMANDIN,0.991270109198877,242.4525927914876,1.0045392189423983
158,742,385,271.75,3.866425232576927,-17.22336588045333,48.431999999999995,-123.439,ESQUIMALT HARBOUR,1.0057868986483929,271.4128938390829,1.0045392189423983
159,742,387,271.45,3.860863145810521,-17.13098660583699,48.457,-123.305,VICTORIA UNIVERSITY CS,1.0056471625114736,271.15093757230477,1.0045392189423983
160,742,630,241.84999999999997,3.8673502491107055,-6.388839086316044,50.95,-107.15,LUCKY LAKE,0.9995872855566549,243.04811957059366,1.0045392189423983
161,742,697,239.14999999999998,3.887198018830976,-3.42540834014595,51.2667,-102.46700000000001,YORKTON A,0.9992674705792571,240.41166282618443,1.0045392189423983
162,743,378,272.54999999999995,3.920431847725504,-17.544311929153427,48.3767,-123.921,SHERINGHAM POINT,1.002240785572954,273.17503743996394,1.0045392189423983
163,744,562,242.95,3.9532646939536473,-9.393077020352104,50.5553,-111.84899999999999,BROOKS,0.9927642659188741,245.83157514857504,1.0045392189423983
164,745,385,267.95,4.021212779396035,-17.233218807834255,48.5749,-123.53,MALAHAT,0.9891658176805329,272.11442096409684,1.0045392189423983
165,745,639,240.45,4.004028274264496,-6.011103315258324,51.1333,-106.583,ELBOW CS,0.996582560261522,242.36973917275316,1.0045392189423983
166,746,387,270.15,4.066814708077395,-17.144251143372646,48.6472,-123.426,VICTORIA INT'L A,0.9942906582480318,272.9345465997453,1.0045392189423983
167,746,447,260.65,4.074800059239958,-14.502483686793461,49.4631,-119.602,PENTICTON A,1.0734187157928166,243.92452224381861,1.0045392189423983
168,746,597,240.34999999999997,4.042323964101323,-7.864251449612356,50.9095,-109.501,LEADER AIRPORT,0.9889887471137839,244.12916929279015,1.0045392189423983
