,ilocy,ilocx,RL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
118,686,1105,0.40700000000000003,1.3913321643034506,14.630169131697288,46.85,-75.3333,STE ANNE DU LAC,1.0919302279799576,0.33508983611299054,0.8990042288467428
119,687,1166,0.457,1.4353865918581943,17.319534723993772,46.1,-71.5833,ST FERDINAND,1.0149649620387353,0.4047873059161642,0.8990042288467428
120,688,1033,0.275,1.464268420428553,11.450362801068342,47.7,-79.85,EARLTON A,0.9026268989110449,0.27389629450564246,0.8990042288467428
121,688,1149,0.40299999999999997,1.4827451771107225,16.55193535398155,46.3833,-72.6167,TROIS RIVIERES AQUEDUC,0.8568216265703881,0.4228402890289026,0.8990042288467428
122,688,1169,0.345,1.4868129159530434,17.472963414579834,46.1,-71.35,THETFORD MINES,0.7709100810120991,0.4023250786199778,0.8990042288467428
123,689,1140,0.634,1.5150610464679561,16.15629574000493,46.5333,-73.15,ST ALEXIS DES MONTS,1.2698577850312986,0.44884449881510685,0.8990042288467428
124,690,1149,0.441,1.5858719669451118,16.564190208663554,46.47778333,-72.55415833,RIVIERE A PIERRE composite,0.9270669676866142,0.4276507293866102,0.8990042288467428
125,691,1182,0.304,1.6268592987363577,18.036246116246513,46.05,-70.5167,ST COME DE LINIERE,0.6695885612779336,0.4081570405680351,0.8990042288467428
126,691,1284,1.014,1.6142468085780268,22.551400289984592,44.4,-64.55,BRIDGEWATER,1.8219269130705673,0.5003440486612369,0.8990042288467428
127,692,949,0.0,1.6822521533276675,7.721167762872969,48.6,-85.2833,WHITE RIVER,0.0,0.31388978236951065,0.8990042288467428
128,692,1150,0.375,1.664176253985097,16.626426689197242,46.5333,-72.4333,ST NARCISSE,0.7815523805194853,0.43135507513065974,0.8990042288467428
129,692,1179,0.377,1.6796607608428853,17.883321299254668,46.15,-70.7,ST GEORGES,0.8400861270489295,0.4034402942300723,0.8990042288467428
130,692,1246,0.6940000000000001,1.6654751578683622,20.850317762178534,45.1,-66.7333,PENNFIELD,0.98082621696443,0.6361054833450337,0.8990042288467428
131,693,746,0.0,1.7062631912498636,-1.2453482523306831,49.191,-98.9049,PILOT MOUND (AUT),0.0,0.1046305371934653,0.8990042288467428
132,693,758,0.295,1.6882373082187547,-0.7083728658870007,49.1833,-98.0833,MORDEN CDA,2.3404016006385886,0.11331655534564088,0.8990042288467428
133,693,1156,0.38,1.6981108675439935,16.892890608074847,46.4833,-72.05,FORTIERVILLE,0.8000697034416395,0.42698980537847797,0.8990042288467428
134,694,1153,0.415,1.7540822281724946,16.741931706325044,46.5833,-72.2333,STE ANNE DE LA PERADE,0.8620966079750009,0.43276675899206996,0.8990042288467428
135,695,1172,0.345,1.7744012915046719,17.594713197903786,46.3333,-71.05,ST SEVERIN,0.7864495449322837,0.39437553362540495,0.8990042288467428
136,695,1181,0.353,1.788085543520356,17.992307149959434,46.2167,-70.5,ST PROSPER,0.7836348266237022,0.4049698686187788,0.8990042288467428
137,696,1236,0.0,1.8336806041740799,20.412222624117724,45.4179375,-67.2232875,MAGAGUADAVIC LAKE composite,0.0,0.6078380358260361,0.8990042288467428
138,697,686,0.071,1.8662740844535828,-3.895667948011195,49.2167,-102.96700000000001,ESTEVAN A,0.6482766060979954,0.09845997780532298,0.8990042288467428
139,697,1157,0.40299999999999997,1.9009426839342536,16.922755381469877,46.6667,-71.9167,DESCHAMBAULT,0.836323867830281,0.4332038318661978,0.8990042288467428
140,698,1154,0.508,1.912824438817077,16.798519081378075,46.7167,-72.0833,ST ALBAN,1.0284092075830533,0.44407823742404906,0.8990042288467428
141,699,756,0.19399999999999998,1.956539149126066,-0.8130760493526549,49.45,-98.25,MIAMI THIESSEN,1.5924831157255572,0.10951878778118532,0.8990042288467428
142,699,780,0.0,1.9687963517466125,0.2366741605794048,49.46824211,-96.63602632,SPRUCE TCPL 43 composite,0.0,0.13070026654634967,0.8990042288467428
143,699,1148,0.473,1.9884978888085978,16.545808996887292,46.8667,-72.4,LAC AUX SABLES,0.9275264784472019,0.4584548367356554,0.8990042288467428
144,699,1180,0.37,1.9845023376234565,17.948131049345225,46.4167,-70.4667,STE GERMAINE,0.8257274987176224,0.4028345491580223,0.8990042288467428
145,701,1163,0.467,2.054217978278324,17.173129500136174,46.7333,-71.5,ST AUGUSTIN,0.9707203023120435,0.43249839719172845,0.8990042288467428
146,701,1168,0.43200000000000005,2.0641528045347988,17.411163562539105,46.6667,-71.1667,BEAUSEJOUR,0.9327422236194605,0.4163742318373268,0.8990042288467428
147,701,1273,0.618,2.0477520185861904,22.08183244528817,44.9833,-64.9167,GREENWOOD A,1.2647800935822733,0.43927368579441245,0.8990042288467428
