,HDD (degC-day),Location,lat,lon,rlat,rlon
83,5782.881,Taylor,56.16,-120.69,10.671,-13.161
84,4078.503,Terrace,54.52,-128.6,10.7,-18.03
85,3305.816,Tofino,49.15,-125.9,5.097,-18.503
86,3563.631,Trail,49.09,-117.71,3.379,-13.414
87,2954.134,Ucluelet,48.94,-125.55,4.82,-18.363
88,2727.614,Burnaby (Simon Fraser Univ.),49.24,-122.97,4.529,-16.666
89,2700.307,Cloverdale,49.11,-122.73,4.356,-16.559
90,2957.752,Haney,49.22,-122.6,4.433,-16.443
91,2740.204,Ladner,49.09,-123.08,4.411,-16.783
92,2728.542,Langley,49.1,-122.66,4.332,-16.519
93,2775.926,New Westminster,49.21,-122.91,4.488,-16.639
94,2741.459,North Vancouver,49.32,-123.07,4.626,-16.702
95,2706.106,Richmond,49.16,-123.14,4.49,-16.798
96,2731.042,Surrey (88 Ave & 156 St.),49.16,-122.79,4.416,-16.581
97,2647.796,Vancouver (city hall),49.26,-123.11,4.578,-16.747
98,2698.232,Vancouver (Granville & 41 Ave),49.23,-123.14,4.556,-16.775
99,2765.701,West Vancouver,49.33,-123.16,4.655,-16.755
100,3676.87,Vernon,50.27,-119.27,4.789,-14.068
101,2798.927,Victoria,48.43,-123.36,3.847,-17.174
102,2740.283,Victoria Gonzales Height,48.42,-123.32,3.829,-17.153
103,2713.398,Victoria Mt Tolmie,48.46,-123.32,3.867,-17.139
104,3882.688,Whistler ,50.12,-122.95,5.358,-16.368
105,2700.384,White Rock ,49.02,-122.8,4.285,-16.632
106,4678.123,Williams Lake,52.13,-122.14,7.1,-15.237
107,3199.108,Youbou,48.86,-124.21,4.44,-17.562
108,5977.355,Athabasca,54.72,-112.28,8.09,-8.844
109,5693.71,Banff,51.17,-115.57,5.053,-11.564
110,5584.466,Barrhead,54.12,-114.41,7.763,-10.194
111,5729.293,Beaverlodge,55.21,-119.43,9.554,-12.754
112,4883.044,Brooks,50.56,-111.9,3.964,-9.424
113,5003.618,Calgary,51.05,-114.06,4.722,-10.664
114,5649.177,Campsie,54.12,-114.65,7.795,-10.333
115,5510.295,Camrose,53.02,-112.83,6.489,-9.506
116,5666.347,Canmore,51.09,-115.36,4.944,-11.454
117,4678.578,Cardston,49.2,-113.3,2.81,-10.58
118,4679.457,Claresholm,50.02,-113.58,3.65,-10.586
119,6006.279,Cold Lake,54.41,-110.22,7.567,-7.716
120,5168.719,Coleman,49.64,-114.49,3.406,-11.243
121,5560.164,Coronation,52.09,-111.45,5.414,-8.859
122,4867.115,Cowley,49.57,-114.07,3.278,-10.992
123,5188.875,Drumheller,51.47,-112.71,4.956,-9.747
124,5338.376,Edmonton,53.55,-113.49,7.089,-9.784
125,5560.927,Edson,53.59,-116.43,7.528,-11.488
126,6701.786,Embarras Portage,58.45,-111.47,11.665,-7.672
127,5870.362,Fairview,56.07,-118.38,10.215,-11.933
128,4585.644,Fort MacLeod,49.72,-113.41,3.334,-10.542
129,6233.334,Fort McMurray,56.73,-111.38,9.966,-7.951
130,5521.017,Fort Saskatchewan,53.71,-113.21,7.211,-9.587
131,6601.025,Fort Vermilion,58.39,-116.0,12.121,-10.051
132,5717.458,Grande Prairie,55.17,-118.79,9.413,-12.41
133,6576.991,Habay,58.83,-118.73,12.919,-11.338
134,5519.304,Hardisty,52.67,-111.31,5.969,-8.668
135,4918.276,High River,50.58,-113.88,4.238,-10.655
136,5490.645,Hinton,53.4,-117.58,7.518,-12.204
137,5485.854,Jasper,52.88,-118.08,7.096,-12.635
138,6399.961,Keg River,57.75,-117.63,11.722,-11.07
139,5996.287,Lac la Biche,54.77,-111.97,8.105,-8.657
140,5413.956,Lacombe,52.47,-113.74,6.066,-10.163
141,4468.689,Lethbridge,49.69,-112.83,3.228,-10.181
142,6245.869,Manning,56.92,-117.63,10.922,-11.295
143,4770.139,Medicine Hat,50.04,-110.68,3.311,-8.751
144,5989.592,Peace River,56.23,-117.29,10.207,-11.295
145,4800.943,Pincher Creek,49.48,-113.94,3.172,-10.929
146,5674.515,Ranfurly,53.4,-111.68,6.727,-8.751
147,5353.321,Red Deer,52.27,-113.81,5.879,-10.248
148,5539.645,Rocky Mountain House,52.37,-114.92,6.127,-10.891
149,5893.596,Slave Lake,55.28,-114.77,8.94,-10.135
150,5431.807,Stettler,52.33,-112.71,5.799,-9.574
151,5318.968,Stony Plain,53.53,-114.01,7.136,-10.093
152,4745.706,Suffield,50.22,-111.16,3.542,-9.023
153,4550.596,Taber,49.78,-112.15,3.229,-9.731
154,5285.83,Turner Valley,50.68,-114.29,4.392,-10.887
155,5562.558,Valleyview,55.07,-117.28,9.085,-11.594
156,5719.918,Vegreville,53.49,-112.05,6.858,-8.952
157,5793.596,Vermilion,53.35,-110.85,6.587,-8.27
158,5869.133,Wagner,55.35,-114.98,9.036,-10.237
159,5676.498,Wainwright,52.83,-110.86,6.077,-8.369
160,5429.377,Wetaskiwin,52.97,-113.37,6.507,-9.836
161,5638.692,Whitecourt,54.14,-115.69,7.956,-10.926
162,5335.29,Wimborne,51.87,-113.59,5.46,-10.201
163,5223.7,Assiniboia,49.63,-105.99,2.466,-5.815
164,5096.37,Battrum,50.55,-108.33,3.574,-7.185
165,5641.434,Biggar,52.06,-107.99,5.038,-6.757
166,5689.122,Broadview,50.38,-102.58,3.008,-3.56
167,5908.871,Dafoe,51.75,-104.53,4.476,-4.668
168,5604.59,Dundurn,51.81,-106.51,4.67,-5.883
169,5337.097,Estevan,49.14,-102.99,1.791,-3.917
170,6128.594,Hudson Bay,52.85,-102.38,5.463,-3.261
171,5970.843,Humboldt,52.2,-105.12,4.96,-4.985
172,6942.621,Island Falls,55.53,-102.35,8.135,-3.056
173,6144.6,Kamsack,51.56,-101.89,4.156,-3.046
174,5409.921,Kindersley,51.47,-109.16,4.562,-7.564
175,5895.954,Lloydminster,53.28,-110.01,6.432,-7.785
176,4883.019,Maple Creek,49.91,-109.48,3.054,-8.011
177,6141.091,Meadow Lake,54.13,-108.43,7.124,-6.72
178,6147.403,Melfort,52.86,-104.61,5.586,-4.608
179,5853.968,Melville,50.93,-102.8,3.567,-3.659
180,5338.445,Moose Jaw,50.39,-105.53,3.188,-5.435
181,6201.966,Nipawin,53.36,-104.01,6.049,-4.2
182,5917.769,North Battleford,52.78,-108.3,5.778,-6.842
183,6124.646,Prince Albert,53.2,-105.75,5.996,-5.257
184,5660.733,Qu'Appelle,50.54,-103.88,3.234,-4.373
185,5556.685,Regina,50.45,-104.62,3.188,-4.851
186,5481.166,Rosetown,51.55,-107.99,4.533,-6.83
187,5593.185,Saskatoon,52.13,-106.66,4.999,-5.935
188,5812.797,Scott,52.37,-108.83,5.42,-7.223
189,5632.521,Strasbourg,51.07,-104.95,3.826,-4.997
190,5154.317,Swift Current,50.28,-107.8,3.259,-6.888
191,7709.569,Uranium City,59.57,-108.62,12.519,-5.998
192,5387.006,Weyburn,49.66,-103.85,2.355,-4.432
193,5973.962,Yorkton,51.21,-102.46,3.83,-3.425
194,5643.228,Beausejour,50.06,-96.51,2.561,0.315
195,5507.957,Boissevain,49.23,-100.05,1.769,-1.992
196,5720.964,Brandon,49.84,-99.95,2.376,-1.904
197,8747.569,Churchill,58.77,-94.17,11.297,1.496
198,5899.523,Dauphin,51.15,-100.05,3.688,-1.917
199,6569.809,Flin Flon,54.77,-101.88,7.359,-2.836
200,5757.117,Gimli,50.63,-96.99,3.13,0.006
201,6911.721,Island Lake,53.86,-94.67,6.381,1.382
202,5657.276,Lac du Bonnet,50.26,-96.06,2.764,0.602
203,7649.972,Lynn Lake,56.85,-101.05,9.408,-2.244
204,5416.434,Morden,49.19,-98.1,1.695,-0.719
205,5743.935,Neepawa,50.23,-99.47,2.755,-1.582
206,5730.629,Pine Falls,50.57,-96.2,3.073,0.509
207,5576.238,Portage la Prairie,49.97,-98.24,2.476,-0.798
208,5820.318,Rivers,50.03,-100.24,2.573,-2.083
209,5542.983,Sandilands,49.32,-96.29,1.822,0.463
210,5590.447,Selkirk,50.14,-96.87,2.64,0.083
211,7796.445,Split Lake,56.25,-96.1,8.753,0.506
212,5611.874,Steinbach,49.53,-96.69,2.03,0.201
213,6079.161,Swan River,52.11,-101.27,4.682,-2.63
214,6335.103,The Pas,53.83,-101.25,6.399,-2.523
215,7422.162,Thompson,55.75,-97.85,8.253,-0.483
216,5662.62,Virden,49.85,-100.93,2.414,-2.535
217,5547.496,Winnipeg,49.9,-97.14,2.4,-0.09
218,3766.804,Ailsa Craig,43.14,-81.54,-3.242,11.234
219,3948.571,Ajax,43.85,-79.02,-2.16,12.872
220,4570.839,Alexandria,45.31,-74.63,0.046,15.525
221,4151.128,Alliston,44.15,-79.87,-2.004,12.208
222,4548.456,Almonte,45.23,-76.19,-0.329,14.49
223,6339.77,Armstrong,50.3,-89.04,3.06,5.082
224,4668.473,Arnprior,45.43,-76.36,-0.167,14.322
225,5772.668,Atikokan,48.76,-91.63,1.382,3.538
226,7305.474,Attawapiskat,52.92,-82.43,6.243,8.776
227,4147.685,Aurora,44.01,-79.45,-2.074,12.534
228,4798.265,Bancroft,45.06,-77.85,-0.788,13.4
229,4243.701,Barrie,44.39,-79.69,-1.742,12.282
230,4105.464,Barriefield,44.24,-76.46,-1.334,14.562
231,4320.303,Beaverton,44.43,-79.16,-1.618,12.642
232,4009.301,Belleville,44.16,-77.38,-1.579,13.944
233,3867.662,Belmont,42.93,-81.09,-3.382,11.599
234,3964.413,Bowmanville,43.91,-78.69,-2.047,13.09
235,4757.874,Bracebridge,45.06,-79.29,-1.025,12.41
236,4238.31,Bradford,44.12,-79.56,-1.984,12.432
237,4062.254,Brampton,43.68,-79.76,-2.445,12.388
238,3933.155,Brantford,43.14,-80.26,-3.051,12.15
239,3998.979,Brighton,44.04,-77.74,-1.759,13.723
240,4214.837,Brockville,44.59,-75.68,-0.85,15.008
241,4950.831,Burk's Falls,45.62,-79.41,-0.498,12.203
242,3771.516,Burlington,43.33,-79.8,-2.793,12.437
243,4060.011,Cambridge,43.36,-80.31,-2.844,12.067
244,4227.598,Campbellford,44.31,-77.8,-1.507,13.616
245,4307.807,Cannington,44.35,-79.04,-1.677,12.744
246,4489.325,Carleton Place,45.14,-76.15,-0.408,14.541
247,4273.549,Cavan,44.2,-78.47,-1.728,13.176
248,3876.539,Centralia,43.28,-81.47,-3.095,11.257
249,4299.352,CFB Borden,44.27,-79.91,-1.893,12.154
250,5871.915,Chapleau,47.84,-83.4,1.135,9.083
251,3485.887,Chatham,42.4,-82.18,-4.059,10.915
252,4337.315,Chesley,44.29,-81.08,-2.049,11.331
253,3947.079,Clinton,43.62,-81.53,-2.77,11.147
254,4508.352,Coboconk,44.66,-78.8,-1.336,12.84
255,3971.368,Cobourg,43.96,-78.17,-1.911,13.442
256,6260.211,Cochrane,49.06,-81.03,2.629,10.398
257,4031.772,Colborne,44.01,-77.89,-1.814,13.626
258,4083.774,Collingwood,44.5,-80.22,-1.716,11.888
259,4355.152,Cornwall,45.02,-74.73,-0.252,15.538
260,3620.637,Corunna,42.88,-82.45,-3.625,10.63
261,5010.178,Deep River,46.1,-77.49,0.282,13.39
262,4032.389,Deseronto,44.2,-77.05,-1.481,14.164
263,3906.486,Dorchester,42.99,-81.05,-3.318,11.616
264,5870.639,Dorion,48.78,-88.56,1.582,5.552
265,3623.359,Dresden,42.59,-82.18,-3.872,10.879
266,5783.544,Dryden,49.78,-92.84,2.352,2.687
267,4575.714,Dundalk,44.17,-80.39,-2.064,11.839
268,3610.015,Dunnville,42.9,-79.62,-3.184,12.659
269,4431.843,Durham,44.18,-80.82,-2.119,11.536
270,3722.67,Dutton,42.66,-81.5,-3.707,11.358
271,5752.706,Earlton,47.71,-79.82,1.478,11.468
272,5693.684,Edison,49.8,-93.55,2.349,2.228
273,4950.109,Elliot Lake ,46.39,-82.65,-0.201,9.843
274,4359.42,Elmvale,44.58,-74.87,-0.702,15.565
275,3981.222,Embro,43.15,-80.9,-3.139,11.69
276,5806.366,Englehart,47.82,-79.87,1.578,11.411
277,5096.96,Espanola,46.27,-81.77,-0.204,10.462
278,3858.699,Exeter,43.35,-81.48,-3.028,11.236
279,4446.837,Fenelon Falls,44.53,-78.74,-1.452,12.911
280,4310.63,Fergus,43.71,-80.38,-2.512,11.944
281,3680.691,Forest,43.1,-82.0,-3.347,10.912
282,3670.655,Fort Erie,42.9,-78.97,-3.077,13.124
283,3664.035,Fort Erie (Ridgeway),42.88,-79.05,-3.11,13.071
284,5427.866,Fort Frances,48.61,-93.4,1.165,2.38
285,4175.121,Gananoque,44.33,-76.17,-1.193,14.739
286,6354.562,Geraldton,49.7,-86.95,2.62,6.488
287,3708.076,Glencoe,42.75,-81.71,-3.649,11.189
288,3930.126,Goderich,43.74,-81.71,-2.678,10.995
289,4654.55,Gore Bay,45.92,-82.46,-0.639,10.059
290,6065.096,Graham,49.25,-90.57,1.924,4.195
291,4636.329,Gravenhurst (Muskoka Airport),44.91,-79.37,-1.184,12.389
292,3571.131,Grimsby,43.2,-79.58,-2.885,12.622
293,4189.956,Guelph,43.54,-80.25,-2.659,12.072
294,4298.089,Guthrie,44.47,-79.53,-1.638,12.376
295,5664.333,Haileybury,47.45,-79.63,1.253,11.65
296,3798.702,Haldimand (Caledonia),43.06,-79.96,-3.082,12.381
297,3762.397,Haldimand (Hagersville),42.96,-80.05,-3.194,12.339
298,4852.375,Haliburton,45.05,-78.52,-0.91,12.942
299,4170.969,Halton Hills (Georgetown),43.64,-79.93,-2.511,12.277
300,3788.069,Hamilton,43.26,-79.87,-2.873,12.402
301,4328.621,Hanover,44.15,-81.03,-2.179,11.394
302,4256.614,Hastings,44.31,-77.96,-1.535,13.505
303,4755.796,Hawkesbury,45.61,-74.6,0.34,15.461
304,6255.512,Hearst,49.69,-83.67,2.927,8.589
305,4284.683,Honey Harbour,44.87,-79.82,-1.293,12.086
306,6268.14,Hornepayne,49.22,-84.78,2.346,7.953
307,4919.042,Huntsville,45.33,-79.22,-0.751,12.398
308,3925.662,Ingersoll,43.04,-80.88,-3.243,11.727
309,6162.808,Iroquois Falls,48.76,-80.69,2.381,10.678
310,6305.765,Jellicoe,49.69,-87.53,2.563,6.116
311,6220.226,Kapuskasing,49.42,-82.43,2.804,9.43
312,4450.908,Kemptville,45.02,-75.65,-0.43,14.913
313,5641.267,Kenora,49.77,-94.49,2.296,1.622
314,4868.496,Killaloe,45.56,-77.42,-0.229,13.571
315,3970.416,Kincardine,44.18,-81.63,-2.235,10.966
316,4106.014,Kingston,44.23,-76.48,-1.348,14.551
317,4637.333,Kinmount,44.78,-78.65,-1.194,12.915
318,5976.763,Kirkland Lake,48.15,-80.02,1.879,11.242
319,4183.982,Kitchener,43.45,-80.49,-2.783,11.92
320,7375.54,Kitchenuhmaykoosib,53.82,-89.88,6.514,4.223
321,4368.005,Lakefield,44.42,-78.27,-1.481,13.263
322,6920.839,Lansdowne House,52.2,-87.93,5.025,5.566
323,3345.57,Leamington,42.06,-82.6,-4.451,10.673
324,4344.506,Lindsay,44.36,-78.74,-1.618,12.95
325,4073.543,Lion's Head,44.99,-81.25,-1.388,11.071
326,4267.094,Listowel,43.73,-80.95,-2.578,11.536
327,3878.179,London,42.99,-81.24,-3.346,11.479
328,3864.471,Lucan,43.19,-81.41,-3.174,11.317
329,4224.292,Maitland,44.63,-75.62,-0.8,15.038
330,4442.174,Markdale,44.32,-80.65,-1.957,11.626
331,4011.588,Markham,43.86,-79.34,-2.203,12.644
332,5978.001,Martin,49.25,-91.13,1.895,3.83
333,6116.821,Matheson,48.53,-80.46,2.188,10.875
334,5183.189,Mattawa,46.32,-78.71,0.294,12.518
335,4172.153,Midland,44.75,-79.89,-1.421,12.064
336,4018.26,Milton,43.51,-79.88,-2.63,12.341
337,4204.914,Milverton,43.56,-80.92,-2.74,11.592
338,4732.047,Minden,44.93,-78.72,-1.06,12.832
339,3834.192,Mississauga,43.59,-79.64,-2.514,12.493
340,3778.031,Mississauga Port Credit,43.55,-79.58,-2.544,12.544
341,4121.516,Mitchell,43.47,-81.19,-2.868,11.418
342,6747.616,Moosonee,51.27,-80.65,4.842,10.181
343,4374.716,Morrisburg,44.9,-75.18,-0.455,15.266
344,4429.061,Mount Forest,43.98,-80.74,-2.303,11.633
345,6404.683,Nakina,50.18,-86.71,3.116,6.578
346,3736.549,Nanticoke (Jarvis),42.89,-80.11,-3.272,12.311
347,3697.333,Nanticoke (Port Dover),42.79,-80.2,-3.384,12.267
348,4117.825,Napanee,44.25,-76.95,-1.415,14.22
349,5686.121,New Liskeard,47.51,-79.68,1.304,11.604
350,3983.523,Newcastle,43.92,-78.59,-2.021,13.157
351,4177.093,Newmarket,44.04,-79.46,-2.046,12.52
352,3562.639,Niagara Falls,43.11,-79.06,-2.888,13.012
353,5115.991,North Bay,46.31,-79.46,0.167,12.015
354,4305.979,Norwood,44.38,-77.98,-1.47,13.474
355,3809.223,Oakville,43.47,-79.69,-2.639,12.484
356,4390.739,Orangeville,43.92,-80.09,-2.263,12.104
357,4346.06,Orillia,44.61,-79.42,-1.484,12.421
358,3932.644,Oshawa,43.9,-78.87,-2.087,12.966
359,4530.567,Ottawa (Barrhaven),45.28,-75.76,-0.2,14.768
360,4586.904,Ottawa (city hall),45.42,-75.69,-0.052,14.778
361,4573.057,Ottawa (Kanata),45.32,-75.91,-0.19,14.656
362,4520.639,Ottawa (M-C Int'l Airport),45.32,-75.67,-0.145,14.819
363,4699.844,Ottawa (Orleans),45.48,-75.51,0.039,14.884
364,4141.777,Owen Sound,44.56,-80.94,-1.764,11.374
365,6318.482,Pagwa River,50.02,-85.22,3.092,7.548
366,3966.422,Paris,43.19,-80.38,-3.021,12.054
367,3721.251,Parkhill,43.16,-81.68,-3.243,11.13
368,4636.321,Parry Sound,45.34,-80.03,-0.867,11.84
369,3588.645,Pelham (Fonthill),43.04,-79.28,-2.992,12.871
370,4894.718,Pembroke,45.83,-77.11,0.086,13.713
371,4142.482,Penetanguishene,44.77,-79.93,-1.408,12.032
372,4399.683,Perth,44.9,-76.25,-0.658,14.535
373,4906.775,Petawawa,45.9,-77.28,0.124,13.581
374,4266.005,Peterborough,44.31,-78.32,-1.596,13.254
375,3671.82,Petrolia,42.88,-82.15,-3.583,10.846
376,3921.624,Pickering (Dunbarton),43.84,-79.08,-2.18,12.832
377,3832.248,Picton,44.0,-77.13,-1.689,14.158
378,4096.221,Plattsville,43.31,-80.62,-2.94,11.857
379,5031.695,Point Alexander,46.13,-77.57,0.297,13.329
380,3726.182,Port Burwell,42.65,-80.8,-3.613,11.865
381,3619.388,Port Colborne,42.89,-79.25,-3.133,12.926
382,4100.806,Port Elgin,44.45,-81.38,-1.935,11.088
383,4012.876,Port Hope,43.95,-78.29,-1.941,13.36
384,4160.897,Port Perry,44.11,-78.95,-1.896,12.861
385,3766.642,Port Stanley,42.67,-81.22,-3.656,11.558
386,4304.61,Prescott,44.72,-75.52,-0.694,15.082
387,3976.528,Princeton,43.17,-80.53,-3.063,11.951
388,5994.194,Raith,48.83,-89.93,1.542,4.649
389,5328.801,Rayside-Balfour (Chelmsford),46.57,-81.2,0.167,10.789
390,6149.037,Red Lake,51.06,-93.74,3.603,2.052
391,4769.46,Renfrew,45.47,-76.68,-0.186,14.095
392,3939.954,Richmond Hill,43.85,-79.38,-2.219,12.619
393,4791.894,Rockland,45.55,-75.29,0.149,15.013
394,3658.416,Sarnia,42.97,-82.41,-3.531,10.642
395,5067.015,Sault Ste. Marie,46.51,-84.33,-0.282,8.682
396,5908.602,Schreiber,48.8,-87.27,1.7,6.394
397,4008.112,Seaforth,43.55,-81.39,-2.819,11.26
398,4489.682,Shelburne,44.08,-80.2,-2.123,11.992
399,3751.61,Simcoe,42.84,-80.31,-3.352,12.178
400,5943.168,Sioux Lookout,50.1,-91.92,2.707,3.26
401,4382.437,Smiths Falls,44.9,-76.02,-0.615,14.692
402,3609.301,Smithville,43.09,-79.55,-2.987,12.667
403,6215.227,Smooth Rock Falls,49.28,-81.63,2.766,9.969
404,5014.637,South River,45.84,-79.38,-0.279,12.174
405,4094.432,Southampton,44.49,-81.37,-1.895,11.087
406,3550.052,St. Catharines,43.16,-79.25,-2.87,12.865
407,4000.004,St. Mary's,43.26,-81.14,-3.067,11.496
408,3778.011,St. Thomas,42.78,-81.19,-3.544,11.557
409,4194.225,Stirling,44.3,-77.55,-1.473,13.792
410,4069.616,Stratford,43.37,-80.98,-2.935,11.588
411,3756.277,Strathroy,42.96,-81.62,-3.43,11.212
412,5149.675,Sturgeon Falls,46.37,-79.93,0.154,11.686
413,5274.006,Sudbury,46.49,-80.99,0.118,10.946
414,5003.338,Sundridge,45.77,-79.39,-0.349,12.183
415,4082.728,Tavistock,43.32,-80.84,-2.963,11.698
416,5514.34,Temagami,47.06,-79.79,0.848,11.629
417,3923.839,Thamesford,43.06,-81.0,-3.242,11.637
418,3681.333,Thedford,43.17,-81.85,-3.257,11.006
419,5488.725,Thunder Bay,48.38,-89.25,1.136,5.14
420,3845.053,Tillsonburg,42.86,-80.73,-3.397,11.872
421,5969.379,Timmins,48.48,-81.33,2.021,10.32
422,6010.482,Timmins (Porcupine),48.49,-81.17,2.052,10.422
423,3784.544,Etobicoke,43.64,-79.57,-2.454,12.531
424,3870.122,North York,43.77,-79.41,-2.302,12.615
425,3854.051,Scarborough,43.77,-79.26,-2.277,12.721
426,3704.99,Toronto (city hall),43.65,-79.38,-2.414,12.663
427,3869.171,Toronto (LBP Int'l Airport),43.68,-79.61,-2.422,12.494
428,4024.905,Trenton,44.1,-77.57,-1.671,13.827
429,5059.805,Trout Creek,45.99,-79.36,-0.13,12.154
430,4165.903,Uxbridge,44.11,-79.12,-1.923,12.742
431,3948.091,Vaughan (Woodbridge),43.86,-79.51,-2.23,12.525
432,3704.589,Vittoria,42.76,-80.32,-3.432,12.188
433,4276.901,Walkerton,44.13,-81.15,-2.216,11.314
434,3579.631,Wallaceburg,42.59,-82.38,-3.9,10.734
435,4206.845,Waterloo,43.46,-80.52,-2.778,11.897
436,3718.662,Watford,42.95,-81.88,-3.477,11.027
437,5560.869,Wawa,48.0,-84.77,1.142,8.151
438,3608.478,Welland,42.98,-79.25,-3.046,12.906
439,3677.445,West Lorne,42.6,-81.61,-3.782,11.29
440,3958.278,Whitby,43.9,-78.94,-2.098,12.916
441,4032.457,Whitby (Brooklin),43.96,-78.96,-2.043,12.889
442,6199.519,White River,48.59,-85.28,1.673,7.725
443,4187.927,Wiarton,44.74,-81.14,-1.617,11.198
444,3465.777,Windsor,42.32,-83.04,-4.254,10.304
