,SL50 (kPa),Location,lat,lon,rlat,rlon
144,2.096,Peace River,56.23,-117.29,10.207,-11.295
145,1.31,Pincher Creek,49.48,-113.94,3.172,-10.929
146,1.707,Ranfurly,53.4,-111.68,6.727,-8.751
147,1.852,Red Deer,52.27,-113.81,5.879,-10.248
148,2.377,Rocky Mountain House,52.37,-114.92,6.127,-10.891
149,2.767,Slave Lake,55.28,-114.77,8.94,-10.135
150,1.593,Stettler,52.33,-112.71,5.799,-9.574
151,1.509,Stony Plain,53.53,-114.01,7.136,-10.093
152,1.131,Suffield,50.22,-111.16,3.542,-9.023
153,0.992,Taber,49.78,-112.15,3.229,-9.731
154,1.671,Turner Valley,50.68,-114.29,4.392,-10.887
155,2.925,Valleyview,55.07,-117.28,9.085,-11.594
156,1.708,Vegreville,53.49,-112.05,6.858,-8.952
157,1.754,Vermilion,53.35,-110.85,6.587,-8.27
158,2.781,Wagner,55.35,-114.98,9.036,-10.237
159,1.433,Wainwright,52.83,-110.86,6.077,-8.369
160,1.837,Wetaskiwin,52.97,-113.37,6.507,-9.836
161,2.94,Whitecourt,54.14,-115.69,7.956,-10.926
162,1.479,Wimborne,51.87,-113.59,5.46,-10.201
163,1.246,Assiniboia,49.63,-105.99,2.466,-5.815
164,1.177,Battrum,50.55,-108.33,3.574,-7.185
165,1.283,Biggar,52.06,-107.99,5.038,-6.757
166,1.933,Broadview,50.38,-102.58,3.008,-3.56
167,1.719,Dafoe,51.75,-104.53,4.476,-4.668
168,1.36,Dundurn,51.81,-106.51,4.67,-5.883
169,1.711,Estevan,49.14,-102.99,1.791,-3.917
170,2.182,Hudson Bay,52.85,-102.38,5.463,-3.261
171,1.665,Humboldt,52.2,-105.12,4.96,-4.985
172,2.287,Island Falls,55.53,-102.35,8.135,-3.056
173,2.05,Kamsack,51.56,-101.89,4.156,-3.046
174,1.245,Kindersley,51.47,-109.16,4.562,-7.564
175,1.416,Lloydminster,53.28,-110.01,6.432,-7.785
176,1.341,Maple Creek,49.91,-109.48,3.054,-8.011
177,1.613,Meadow Lake,54.13,-108.43,7.124,-6.72
178,1.757,Melfort,52.86,-104.61,5.586,-4.608
179,1.911,Melville,50.93,-102.8,3.567,-3.659
180,1.277,Moose Jaw,50.39,-105.53,3.188,-5.435
181,1.84,Nipawin,53.36,-104.01,6.049,-4.2
182,1.476,North Battleford,52.78,-108.3,5.778,-6.842
183,1.554,Prince Albert,53.2,-105.75,5.996,-5.257
184,1.74,Qu'Appelle,50.54,-103.88,3.234,-4.373
185,1.473,Regina,50.45,-104.62,3.188,-4.851
186,1.229,Rosetown,51.55,-107.99,4.533,-6.83
187,1.365,Saskatoon,52.13,-106.66,4.999,-5.935
188,1.366,Scott,52.37,-108.83,5.42,-7.223
189,1.516,Strasbourg,51.07,-104.95,3.826,-4.997
190,1.139,Swift Current,50.28,-107.8,3.259,-6.888
191,2.565,Uranium City,59.57,-108.62,12.519,-5.998
192,1.452,Weyburn,49.66,-103.85,2.355,-4.432
193,1.905,Yorkton,51.21,-102.46,3.83,-3.425
194,2.413,Beausejour,50.06,-96.51,2.561,0.315
195,2.237,Boissevain,49.23,-100.05,1.769,-1.992
196,2.012,Brandon,49.84,-99.95,2.376,-1.904
197,2.231,Churchill,58.77,-94.17,11.297,1.496
198,2.331,Dauphin,51.15,-100.05,3.688,-1.917
199,2.167,Flin Flon,54.77,-101.88,7.359,-2.836
200,2.352,Gimli,50.63,-96.99,3.13,0.006
201,3.147,Island Lake,53.86,-94.67,6.381,1.382
202,2.654,Lac du Bonnet,50.26,-96.06,2.764,0.602
203,2.653,Lynn Lake,56.85,-101.05,9.408,-2.244
204,2.212,Morden,49.19,-98.1,1.695,-0.719
205,2.142,Neepawa,50.23,-99.47,2.755,-1.582
206,2.582,Pine Falls,50.57,-96.2,3.073,0.509
207,2.143,Portage la Prairie,49.97,-98.24,2.476,-0.798
208,2.081,Rivers,50.03,-100.24,2.573,-2.083
209,2.479,Sandilands,49.32,-96.29,1.822,0.463
210,2.316,Selkirk,50.14,-96.87,2.64,0.083
211,2.85,Split Lake,56.25,-96.1,8.753,0.506
212,2.377,Steinbach,49.53,-96.69,2.03,0.201
213,2.284,Swan River,52.11,-101.27,4.682,-2.63
214,2.231,The Pas,53.83,-101.25,6.399,-2.523
215,2.675,Thompson,55.75,-97.85,8.253,-0.483
216,1.885,Virden,49.85,-100.93,2.414,-2.535
217,2.267,Winnipeg,49.9,-97.14,2.4,-0.09
218,1.65,Ailsa Craig,43.14,-81.54,-3.242,11.234
219,1.497,Ajax,43.85,-79.02,-2.16,12.872
220,2.477,Alexandria,45.31,-74.63,0.046,15.525
221,2.006,Alliston,44.15,-79.87,-2.004,12.208
222,2.319,Almonte,45.23,-76.19,-0.329,14.49
223,3.539,Armstrong,50.3,-89.04,3.06,5.082
224,2.356,Arnprior,45.43,-76.36,-0.167,14.322
225,3.191,Atikokan,48.76,-91.63,1.382,3.538
226,3.219,Attawapiskat,52.92,-82.43,6.243,8.776
227,1.858,Aurora,44.01,-79.45,-2.074,12.534
228,2.957,Bancroft,45.06,-77.85,-0.788,13.4
229,2.299,Barrie,44.39,-79.69,-1.742,12.282
230,2.091,Barriefield,44.24,-76.46,-1.334,14.562
231,2.325,Beaverton,44.43,-79.16,-1.618,12.642
232,1.904,Belleville,44.16,-77.38,-1.579,13.944
233,1.445,Belmont,42.93,-81.09,-3.382,11.599
234,1.602,Bowmanville,43.91,-78.69,-2.047,13.09
235,3.225,Bracebridge,45.06,-79.29,-1.025,12.41
236,1.967,Bradford,44.12,-79.56,-1.984,12.432
237,1.662,Brampton,43.68,-79.76,-2.445,12.388
238,1.526,Brantford,43.14,-80.26,-3.051,12.15
239,1.573,Brighton,44.04,-77.74,-1.759,13.723
240,2.223,Brockville,44.59,-75.68,-0.85,15.008
241,3.358,Burk's Falls,45.62,-79.41,-0.498,12.203
242,1.474,Burlington,43.33,-79.8,-2.793,12.437
243,1.674,Cambridge,43.36,-80.31,-2.844,12.067
244,2.03,Campbellford,44.31,-77.8,-1.507,13.616
245,2.222,Cannington,44.35,-79.04,-1.677,12.744
246,2.283,Carleton Place,45.14,-76.15,-0.408,14.541
247,1.973,Cavan,44.2,-78.47,-1.728,13.176
248,1.759,Centralia,43.28,-81.47,-3.095,11.257
249,2.219,CFB Borden,44.27,-79.91,-1.893,12.154
250,3.573,Chapleau,47.84,-83.4,1.135,9.083
251,1.129,Chatham,42.4,-82.18,-4.059,10.915
252,2.723,Chesley,44.29,-81.08,-2.049,11.331
253,1.872,Clinton,43.62,-81.53,-2.77,11.147
254,2.613,Coboconk,44.66,-78.8,-1.336,12.84
255,1.691,Cobourg,43.96,-78.17,-1.911,13.442
256,3.769,Cochrane,49.06,-81.03,2.629,10.398
257,1.603,Colborne,44.01,-77.89,-1.814,13.626
258,2.682,Collingwood,44.5,-80.22,-1.716,11.888
259,2.414,Cornwall,45.02,-74.73,-0.252,15.538
260,1.421,Corunna,42.88,-82.45,-3.625,10.63
261,2.991,Deep River,46.1,-77.49,0.282,13.39
262,2.069,Deseronto,44.2,-77.05,-1.481,14.164
263,1.527,Dorchester,42.99,-81.05,-3.318,11.616
264,3.553,Dorion,48.78,-88.56,1.582,5.552
265,1.234,Dresden,42.59,-82.18,-3.872,10.879
266,3.17,Dryden,49.78,-92.84,2.352,2.687
267,2.499,Dundalk,44.17,-80.39,-2.064,11.839
268,1.349,Dunnville,42.9,-79.62,-3.184,12.659
269,2.643,Durham,44.18,-80.82,-2.119,11.536
270,1.26,Dutton,42.66,-81.5,-3.707,11.358
271,3.853,Earlton,47.71,-79.82,1.478,11.468
272,3.076,Edison,49.8,-93.55,2.349,2.228
273,3.624,Elliot Lake ,46.39,-82.65,-0.201,9.843
274,2.355,Elmvale,44.58,-74.87,-0.702,15.565
275,1.676,Embro,43.15,-80.9,-3.139,11.69
276,3.811,Englehart,47.82,-79.87,1.578,11.411
277,3.654,Espanola,46.27,-81.77,-0.204,10.462
278,1.794,Exeter,43.35,-81.48,-3.028,11.236
279,2.47,Fenelon Falls,44.53,-78.74,-1.452,12.911
280,2.11,Fergus,43.71,-80.38,-2.512,11.944
281,1.517,Forest,43.1,-82.0,-3.347,10.912
282,1.213,Fort Erie,42.9,-78.97,-3.077,13.124
283,1.327,Fort Erie (Ridgeway),42.88,-79.05,-3.11,13.071
284,2.967,Fort Frances,48.61,-93.4,1.165,2.38
285,2.119,Gananoque,44.33,-76.17,-1.193,14.739
286,3.628,Geraldton,49.7,-86.95,2.62,6.488
287,1.292,Glencoe,42.75,-81.71,-3.649,11.189
288,1.878,Goderich,43.74,-81.71,-2.678,10.995
289,3.228,Gore Bay,45.92,-82.46,-0.639,10.059
290,3.436,Graham,49.25,-90.57,1.924,4.195
291,3.095,Gravenhurst (Muskoka Airport),44.91,-79.37,-1.184,12.389
292,1.368,Grimsby,43.2,-79.58,-2.885,12.622
293,1.824,Guelph,43.54,-80.25,-2.659,12.072
294,2.299,Guthrie,44.47,-79.53,-1.638,12.376
295,3.594,Haileybury,47.45,-79.63,1.253,11.65
296,1.399,Haldimand (Caledonia),43.06,-79.96,-3.082,12.381
297,1.446,Haldimand (Hagersville),42.96,-80.05,-3.194,12.339
298,2.907,Haliburton,45.05,-78.52,-0.91,12.942
299,1.744,Halton Hills (Georgetown),43.64,-79.93,-2.511,12.277
300,1.468,Hamilton,43.26,-79.87,-2.873,12.402
301,2.622,Hanover,44.15,-81.03,-2.179,11.394
302,2.045,Hastings,44.31,-77.96,-1.535,13.505
303,2.844,Hawkesbury,45.61,-74.6,0.34,15.461
304,3.699,Hearst,49.69,-83.67,2.927,8.589
305,3.096,Honey Harbour,44.87,-79.82,-1.293,12.086
306,3.775,Hornepayne,49.22,-84.78,2.346,7.953
307,3.375,Huntsville,45.33,-79.22,-0.751,12.398
308,1.546,Ingersoll,43.04,-80.88,-3.243,11.727
309,3.765,Iroquois Falls,48.76,-80.69,2.381,10.678
310,3.753,Jellicoe,49.69,-87.53,2.563,6.116
311,3.659,Kapuskasing,49.42,-82.43,2.804,9.43
312,2.186,Kemptville,45.02,-75.65,-0.43,14.913
313,2.875,Kenora,49.77,-94.49,2.296,1.622
314,2.615,Killaloe,45.56,-77.42,-0.229,13.571
315,2.065,Kincardine,44.18,-81.63,-2.235,10.966
316,2.034,Kingston,44.23,-76.48,-1.348,14.551
317,2.767,Kinmount,44.78,-78.65,-1.194,12.915
318,3.802,Kirkland Lake,48.15,-80.02,1.879,11.242
319,1.877,Kitchener,43.45,-80.49,-2.783,11.92
320,3.25,Kitchenuhmaykoosib,53.82,-89.88,6.514,4.223
321,2.261,Lakefield,44.42,-78.27,-1.481,13.263
322,3.522,Lansdowne House,52.2,-87.93,5.025,5.566
323,1.109,Leamington,42.06,-82.6,-4.451,10.673
324,2.219,Lindsay,44.36,-78.74,-1.618,12.95
325,3.091,Lion's Head,44.99,-81.25,-1.388,11.071
326,2.183,Listowel,43.73,-80.95,-2.578,11.536
327,1.533,London,42.99,-81.24,-3.346,11.479
328,1.7,Lucan,43.19,-81.41,-3.174,11.317
329,2.211,Maitland,44.63,-75.62,-0.8,15.038
330,2.677,Markdale,44.32,-80.65,-1.957,11.626
331,1.558,Markham,43.86,-79.34,-2.203,12.644
332,3.418,Martin,49.25,-91.13,1.895,3.83
333,3.776,Matheson,48.53,-80.46,2.188,10.875
334,3.218,Mattawa,46.32,-78.71,0.294,12.518
335,2.918,Midland,44.75,-79.89,-1.421,12.064
336,1.614,Milton,43.51,-79.88,-2.63,12.341
337,2.046,Milverton,43.56,-80.92,-2.74,11.592
338,2.963,Minden,44.93,-78.72,-1.06,12.832
339,1.541,Mississauga,43.59,-79.64,-2.514,12.493
340,1.554,Mississauga Port Credit,43.55,-79.58,-2.544,12.544
341,1.983,Mitchell,43.47,-81.19,-2.868,11.418
342,3.271,Moosonee,51.27,-80.65,4.842,10.181
343,2.326,Morrisburg,44.9,-75.18,-0.455,15.266
344,2.39,Mount Forest,43.98,-80.74,-2.303,11.633
345,3.673,Nakina,50.18,-86.71,3.116,6.578
346,1.459,Nanticoke (Jarvis),42.89,-80.11,-3.272,12.311
347,1.44,Nanticoke (Port Dover),42.79,-80.2,-3.384,12.267
348,2.09,Napanee,44.25,-76.95,-1.415,14.22
349,3.598,New Liskeard,47.51,-79.68,1.304,11.604
350,1.701,Newcastle,43.92,-78.59,-2.021,13.157
351,1.905,Newmarket,44.04,-79.46,-2.046,12.52
352,1.302,Niagara Falls,43.11,-79.06,-2.888,13.012
353,3.265,North Bay,46.31,-79.46,0.167,12.015
354,2.134,Norwood,44.38,-77.98,-1.47,13.474
355,1.553,Oakville,43.47,-79.69,-2.639,12.484
356,2.093,Orangeville,43.92,-80.09,-2.263,12.104
357,2.625,Orillia,44.61,-79.42,-1.484,12.421
358,1.56,Oshawa,43.9,-78.87,-2.087,12.966
359,2.468,Ottawa (Barrhaven),45.28,-75.76,-0.2,14.768
360,2.369,Ottawa (city hall),45.42,-75.69,-0.052,14.778
361,2.323,Ottawa (Kanata),45.32,-75.91,-0.19,14.656
362,2.65,Ottawa (M-C Int'l Airport),45.32,-75.67,-0.145,14.819
363,2.475,Ottawa (Orleans),45.48,-75.51,0.039,14.884
364,3.059,Owen Sound,44.56,-80.94,-1.764,11.374
365,3.65,Pagwa River,50.02,-85.22,3.092,7.548
366,1.576,Paris,43.19,-80.38,-3.021,12.054
367,1.547,Parkhill,43.16,-81.68,-3.243,11.13
368,3.688,Parry Sound,45.34,-80.03,-0.867,11.84
369,1.24,Pelham (Fonthill),43.04,-79.28,-2.992,12.871
370,2.497,Pembroke,45.83,-77.11,0.086,13.713
371,2.983,Penetanguishene,44.77,-79.93,-1.408,12.032
372,2.266,Perth,44.9,-76.25,-0.658,14.535
373,2.592,Petawawa,45.9,-77.28,0.124,13.581
374,2.092,Peterborough,44.31,-78.32,-1.596,13.254
375,1.377,Petrolia,42.88,-82.15,-3.583,10.846
376,1.451,Pickering (Dunbarton),43.84,-79.08,-2.18,12.832
377,1.967,Picton,44.0,-77.13,-1.689,14.158
378,1.781,Plattsville,43.31,-80.62,-2.94,11.857
379,3.004,Point Alexander,46.13,-77.57,0.297,13.329
380,1.311,Port Burwell,42.65,-80.8,-3.613,11.865
381,1.315,Port Colborne,42.89,-79.25,-3.133,12.926
382,2.446,Port Elgin,44.45,-81.38,-1.935,11.088
383,1.739,Port Hope,43.95,-78.29,-1.941,13.36
384,1.848,Port Perry,44.11,-78.95,-1.896,12.861
385,1.26,Port Stanley,42.67,-81.22,-3.656,11.558
386,2.237,Prescott,44.72,-75.52,-0.694,15.082
387,1.603,Princeton,43.17,-80.53,-3.063,11.951
388,3.398,Raith,48.83,-89.93,1.542,4.649
389,3.411,Rayside-Balfour (Chelmsford),46.57,-81.2,0.167,10.789
390,3.149,Red Lake,51.06,-93.74,3.603,2.052
391,2.392,Renfrew,45.47,-76.68,-0.186,14.095
392,1.519,Richmond Hill,43.85,-79.38,-2.219,12.619
393,2.602,Rockland,45.55,-75.29,0.149,15.013
394,1.466,Sarnia,42.97,-82.41,-3.531,10.642
395,3.507,Sault Ste. Marie,46.51,-84.33,-0.282,8.682
396,3.824,Schreiber,48.8,-87.27,1.7,6.394
397,1.911,Seaforth,43.55,-81.39,-2.819,11.26
398,2.345,Shelburne,44.08,-80.2,-2.123,11.992
399,1.44,Simcoe,42.84,-80.31,-3.352,12.178
400,3.268,Sioux Lookout,50.1,-91.92,2.707,3.26
401,2.229,Smiths Falls,44.9,-76.02,-0.615,14.692
402,1.302,Smithville,43.09,-79.55,-2.987,12.667
403,3.711,Smooth Rock Falls,49.28,-81.63,2.766,9.969
404,3.268,South River,45.84,-79.38,-0.279,12.174
405,2.476,Southampton,44.49,-81.37,-1.895,11.087
406,1.232,St. Catharines,43.16,-79.25,-2.87,12.865
407,1.795,St. Mary's,43.26,-81.14,-3.067,11.496
408,1.306,St. Thomas,42.78,-81.19,-3.544,11.557
409,2.036,Stirling,44.3,-77.55,-1.473,13.792
410,1.871,Stratford,43.37,-80.98,-2.935,11.588
411,1.456,Strathroy,42.96,-81.62,-3.43,11.212
412,3.309,Sturgeon Falls,46.37,-79.93,0.154,11.686
413,3.227,Sudbury,46.49,-80.99,0.118,10.946
414,3.282,Sundridge,45.77,-79.39,-0.349,12.183
415,1.82,Tavistock,43.32,-80.84,-2.963,11.698
416,3.724,Temagami,47.06,-79.79,0.848,11.629
417,1.579,Thamesford,43.06,-81.0,-3.242,11.637
418,1.5,Thedford,43.17,-81.85,-3.257,11.006
419,3.561,Thunder Bay,48.38,-89.25,1.136,5.14
420,1.413,Tillsonburg,42.86,-80.73,-3.397,11.872
421,3.817,Timmins,48.48,-81.33,2.021,10.32
422,3.81,Timmins (Porcupine),48.49,-81.17,2.052,10.422
423,1.514,Etobicoke,43.64,-79.57,-2.454,12.531
424,1.493,North York,43.77,-79.41,-2.302,12.615
425,1.438,Scarborough,43.77,-79.26,-2.277,12.721
426,1.414,Toronto (city hall),43.65,-79.38,-2.414,12.663
427,1.535,Toronto (LBP Int'l Airport),43.68,-79.61,-2.422,12.494
428,1.678,Trenton,44.1,-77.57,-1.671,13.827
429,3.195,Trout Creek,45.99,-79.36,-0.13,12.154
430,1.863,Uxbridge,44.11,-79.12,-1.923,12.742
431,1.65,Vaughan (Woodbridge),43.86,-79.51,-2.23,12.525
432,1.458,Vittoria,42.76,-80.32,-3.432,12.188
433,2.504,Walkerton,44.13,-81.15,-2.216,11.314
434,1.253,Wallaceburg,42.59,-82.38,-3.9,10.734
435,1.924,Waterloo,43.46,-80.52,-2.778,11.897
436,1.397,Watford,42.95,-81.88,-3.477,11.027
437,4.401,Wawa,48.0,-84.77,1.142,8.151
438,1.237,Welland,42.98,-79.25,-3.046,12.906
439,1.216,West Lorne,42.6,-81.61,-3.782,11.29
440,1.543,Whitby,43.9,-78.94,-2.098,12.916
441,1.574,Whitby (Brooklin),43.96,-78.96,-2.043,12.889
442,3.937,White River,48.59,-85.28,1.673,7.725
443,3.092,Wiarton,44.74,-81.14,-1.617,11.198
444,1.091,Windsor,42.32,-83.04,-4.254,10.304
445,2.249,Wingham,43.89,-81.31,-2.474,11.249
446,1.646,Woodstock,43.13,-80.76,-3.137,11.795
447,1.397,Wyoming,42.95,-82.12,-3.511,10.854
448,2.672,Acton-Vale,45.65,-72.56,0.796,16.813
449,3.969,Alma,48.55,-71.65,3.745,16.501
450,3.756,Amos,48.57,-78.12,2.575,12.377
451,3.04,Asbestos,45.78,-71.94,1.054,17.185
452,2.311,Aylmer,45.4,-75.84,-0.1,14.682
453,5.205,Baie-Comeau,49.22,-68.15,5.151,18.448
454,4.881,Baie-Saint-Paul,47.44,-70.51,2.941,17.583
455,4.65,Beauport,46.87,-71.18,2.254,17.337
456,2.402,Bedford,45.12,-72.99,0.2,16.685
457,2.291,Beloeil,45.57,-73.2,0.585,16.41
458,2.583,Brome,45.19,-72.57,0.356,16.947
459,2.474,Brossard,45.46,-73.47,0.424,16.262
