,Q10_Gumbel-MM,Location,lat,lon,rlat,rlon
168,0.283,Dundurn,51.81,-106.51,4.67,-5.883
169,0.308,Estevan,49.14,-102.99,1.791,-3.917
170,0.159,Hudson Bay,52.85,-102.38,5.463,-3.261
171,0.284,Humboldt,52.2,-105.12,4.96,-4.985
172,0.185,Island Falls,55.53,-102.35,8.135,-3.056
173,0.23,Kamsack,51.56,-101.89,4.156,-3.046
174,0.286,Kindersley,51.47,-109.16,4.562,-7.564
175,0.296,Lloydminster,53.28,-110.01,6.432,-7.785
176,0.278,Maple Creek,49.91,-109.48,3.054,-8.011
177,0.221,Meadow Lake,54.13,-108.43,7.124,-6.72
178,0.237,Melfort,52.86,-104.61,5.586,-4.608
179,0.284,Melville,50.93,-102.8,3.567,-3.659
180,0.303,Moose Jaw,50.39,-105.53,3.188,-5.435
181,0.204,Nipawin,53.36,-104.01,6.049,-4.2
182,0.276,North Battleford,52.78,-108.3,5.778,-6.842
183,0.245,Prince Albert,53.2,-105.75,5.996,-5.257
184,0.297,Qu'Appelle,50.54,-103.88,3.234,-4.373
185,0.307,Regina,50.45,-104.62,3.188,-4.851
186,0.27,Rosetown,51.55,-107.99,4.533,-6.83
187,0.298,Saskatoon,52.13,-106.66,4.999,-5.935
188,0.229,Scott,52.37,-108.83,5.42,-7.223
189,0.291,Strasbourg,51.07,-104.95,3.826,-4.997
190,0.308,Swift Current,50.28,-107.8,3.259,-6.888
191,0.207,Uranium City,59.57,-108.62,12.519,-5.998
192,0.308,Weyburn,49.66,-103.85,2.355,-4.432
193,0.282,Yorkton,51.21,-102.46,3.83,-3.425
194,0.261,Beausejour,50.06,-96.51,2.561,0.315
195,0.204,Boissevain,49.23,-100.05,1.769,-1.992
196,0.224,Brandon,49.84,-99.95,2.376,-1.904
197,0.504,Churchill,58.77,-94.17,11.297,1.496
198,0.214,Dauphin,51.15,-100.05,3.688,-1.917
199,0.122,Flin Flon,54.77,-101.88,7.359,-2.836
200,0.279,Gimli,50.63,-96.99,3.13,0.006
201,0.138,Island Lake,53.86,-94.67,6.381,1.382
202,0.233,Lac du Bonnet,50.26,-96.06,2.764,0.602
203,0.171,Lynn Lake,56.85,-101.05,9.408,-2.244
204,0.284,Morden,49.19,-98.1,1.695,-0.719
205,0.205,Neepawa,50.23,-99.47,2.755,-1.582
206,0.201,Pine Falls,50.57,-96.2,3.073,0.509
207,0.283,Portage la Prairie,49.97,-98.24,2.476,-0.798
208,0.186,Rivers,50.03,-100.24,2.573,-2.083
209,0.227,Sandilands,49.32,-96.29,1.822,0.463
210,0.294,Selkirk,50.14,-96.87,2.64,0.083
211,0.173,Split Lake,56.25,-96.1,8.753,0.506
212,0.283,Steinbach,49.53,-96.69,2.03,0.201
213,0.154,Swan River,52.11,-101.27,4.682,-2.63
214,0.221,The Pas,53.83,-101.25,6.399,-2.523
215,0.131,Thompson,55.75,-97.85,8.253,-0.483
216,0.248,Virden,49.85,-100.93,2.414,-2.535
217,0.309,Winnipeg,49.9,-97.14,2.4,-0.09
218,0.273,Ailsa Craig,43.14,-81.54,-3.242,11.234
219,0.291,Ajax,43.85,-79.02,-2.16,12.872
